species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
pieavo1,HK,1.8523524843631003,2.563657214342498,5.374798510590365,nonbreeding,0.1077760681276232,9.096540940321425e-05,0.0010814675280331,84.0,10.77760681276232,0.7724909863145876,abundant,77.24909863145875,,peak_abundance_with_occupancy_days_modifiers,0.1077760681276232
livbul1,HK,1.8437666753866098,3.4202999999999997,5.3203,nonbreeding,0.7151,0.001,0.0021,112.0,71.50999999999999,0.7689104258648098,abundant,76.89104258648098,,peak_abundance_with_occupancy_days_modifiers,0.7151
swiwhe1,HK,1.8276091221217523,3.1094999999999997,5.219,nonbreeding,0.7379,0.0009,0.0048,147.0,73.79,0.7621722027872017,abundant,76.21722027872016,,peak_abundance_with_occupancy_days_modifiers,0.7379
rewbul,HK,1.684434061470506,4.3894,4.3894,resident,0.7077,0.0007,0.0043,365.0,70.77,0.7024635648515011,common,70.2463564851501,,peak_abundance_with_occupancy_days_modifiers,0.7077
gubter2,HK,1.2042744760104938,0.7960606936047943,2.334339057306788,prebreeding_migration,0.2897473738430835,0.00033737547343963846,0.0036949663694993,70.0,28.97473738430835,0.5022214646618374,common,50.22214646618374,,peak_abundance_with_occupancy_days_modifiers,0.2897473738430835
kenplo1,HK,1.201349366119222,1.35145,2.3246,nonbreeding,0.1821,0.0001,0.0015,98.0,18.21,0.5010015990887016,common,50.100159908870154,,peak_abundance_with_occupancy_days_modifiers,0.1821
litegr,HK,1.195648251179704,1.9743,2.3057,nonbreeding,0.6967,0.0002,0.0004,84.0,69.67,0.4986240494916898,common,49.86240494916898,,peak_abundance_with_occupancy_days_modifiers,0.6967
grecor,HK,1.0989788881289817,0.678875,2.0011,nonbreeding,0.2686,0.0001,0.0002,98.0,26.86,0.45830979384118853,common,45.830979384118855,,peak_abundance_with_occupancy_days_modifiers,0.2686
spodov,HK,1.0569218616139007,1.8775,1.8775,resident,0.7381,0.0003,0.0005,365.0,73.81,0.4407706514974113,common,44.07706514974113,,peak_abundance_with_occupancy_days_modifiers,0.7381
barswa,HK,1.0540680975834682,1.0273750000000001,1.8693,prebreeding_migration,0.8556,0.0,0.0,154.0,85.56,0.4395805394592395,common,43.95805394592395,,peak_abundance_with_occupancy_days_modifiers,0.8556
eutspa,HK,1.0254679546301066,1.7884,1.7884,resident,0.3664,0.0001,0.0001,365.0,36.64,0.4276533534483239,common,42.76533534483239,,peak_abundance_with_occupancy_days_modifiers,0.3664
caster1,HK,1.0074103252416389,0.47807499999999997,1.7385,prebreeding_migration,0.1821,0.0003,0.0062,105.0,18.21,0.42012273708099845,common,42.01227370809985,,peak_abundance_with_occupancy_days_modifiers,0.1821
blakit1,HK,0.9274680324642803,1.307075,1.5281,nonbreeding,0.886,0.0001,0.0002,147.0,88.6,0.38678421154811937,common,38.678421154811936,,peak_abundance_with_occupancy_days_modifiers,0.886
cremyn,HK,0.9266766114265725,1.5261,1.5261,resident,0.8069,0.0011,0.0026,365.0,80.69,0.3864541633401406,common,38.64541633401406,,peak_abundance_with_occupancy_days_modifiers,0.8069
comtai1,HK,0.826978528193466,1.2864,1.2864,resident,0.7417,0.0003,0.0011,365.0,74.17,0.3448768332690246,common,34.487683326902456,,peak_abundance_with_occupancy_days_modifiers,0.7417
greegr,HK,0.7311171118115739,0.7087749999999999,1.0774,nonbreeding,0.5376,0.0,0.0001,133.0,53.76,0.30489951754996875,common,30.489951754996873,,peak_abundance_with_occupancy_days_modifiers,0.5376
yebwar3,HK,0.7161310169503207,0.7245333333333334,1.0465,nonbreeding,0.7455,0.0004,0.0011,91.0,74.55000000000001,0.29864983057186967,common,29.86498305718697,,peak_abundance_with_occupancy_days_modifiers,0.7455
blnter1,HK,0.7126556469479883,0.7616333333333335,1.0394,breeding,0.509,,,,50.9,0.2972004887087129,common,29.72004887087129,,peak_abundance_with_occupancy_days_modifiers,0.509
roster,HK,0.6019087001256741,0.30916666666666665,0.8256,postbreeding_migration,0.4482,,,,44.82,0.25101542463246945,fairly_common,25.101542463246947,,peak_abundance_with_occupancy_days_modifiers,0.4482
bkhgul,HK,0.599440714119637,0.5183666666666668,0.8211,nonbreeding,0.0264,0.0001,0.0001,91.0,2.64,0.24998619452637016,rare,24.998619452637016,rare,peak_abundance_with_occupancy_days_modifiers,0.0264
magrob,HK,0.5912251908345614,0.8062,0.8062,resident,0.7037,0.0003,0.0007,365.0,70.37,0.24656005520399352,common,24.65600552039935,,peak_abundance_with_occupancy_days_modifiers,0.7037
maslau1,HK,0.5725142414703432,0.7727184954427065,0.7727184954427065,resident,0.4643690944956122,0.0020751087555404,0.0030727480813637,365.0,46.43690944956122,0.23875698324481567,fairly_common,23.87569832448157,,peak_abundance_with_occupancy_days_modifiers,0.4643690944956122
categr2,HK,0.5667922182099632,0.4315165043777289,0.7626039244800485,prebreeding_migration,0.3994704865339966,0.0001823207761762564,6.33782787471146e-05,126.0,39.947048653399655,0.23637071420075412,fairly_common,23.63707142007541,,peak_abundance_with_occupancy_days_modifiers,0.3994704865339966
grsplo,HK,0.5384213353567899,0.281125,0.7133,prebreeding_migration,0.2277,0.0009,0.0019,133.0,22.770000000000003,0.22453913707767817,fairly_common,22.453913707767818,,peak_abundance_with_occupancy_days_modifiers,0.2277
rensti,HK,0.514439087335826,0.207775,0.6727,prebreeding_migration,0.212,0.0013,0.0004,133.0,21.2,0.2145377628337662,fairly_common,21.45377628337662,,peak_abundance_with_occupancy_days_modifiers,0.212
labcro1,HK,0.5086833306939572,0.6631,0.6631,resident,0.6429,0.0002,0.0002,365.0,64.29,0.21213742587695167,common,21.213742587695165,,peak_abundance_with_occupancy_days_modifiers,0.6429
whiwag,HK,0.5084427870641967,0.43415000000000004,0.6627,nonbreeding,0.6429,0.0001,0.0001,112.0,64.29,0.2120371113917908,fairly_common,21.20371113917908,,peak_abundance_with_occupancy_days_modifiers,0.6429
bkcsta1,HK,0.4945132982736857,0.6397,0.6397,resident,0.4044,0.0013,0.0045,365.0,40.44,0.20622806337016672,fairly_common,20.622806337016673,,peak_abundance_with_occupancy_days_modifiers,0.4044
olbpip,HK,0.4906025080769565,0.32253333333333334,0.6333,nonbreeding,0.6467,0.0002,0.0005,70.0,64.67,0.2045971371820663,fairly_common,20.45971371820663,,peak_abundance_with_occupancy_days_modifiers,0.6467
whiter2,HK,0.4795216658743763,0.2413527116711085,0.6153015635090713,prebreeding_migration,0.4431460054704605,0.00036113835281849816,0.000232519270692975,91.0,44.31460054704605,0.19997606705932955,fairly_common,19.997606705932956,,peak_abundance_with_occupancy_days_modifiers,0.4431460054704605
chebul1,HK,0.42394328161450245,0.5279749270553385,0.5279749270553385,resident,0.3577682442881535,0.0009538307962670268,0.0011564137629264,365.0,35.77682442881535,0.1767980805599387,fairly_common,17.67980805599387,,peak_abundance_with_occupancy_days_modifiers,0.3577682442881535
grcter1,HK,0.4182497024675837,0.254475,0.5193,nonbreeding,0.1899,0.0009,0.0005,98.0,18.990000000000002,0.17442367363253589,fairly_common,17.442367363253588,,peak_abundance_with_occupancy_days_modifiers,0.1899
