species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,SD,1.4810589375643135,2.3030749999999998,3.3976,nonbreeding,0.9655,0.0477,0.0699,154.0,96.55,0.6176495505726992,common,61.76495505726992,,peak_abundance_with_occupancy_days_modifiers,0.9655
categr1,SD,0.967859059955783,0.6558855990719646,1.632302819787662,postbreeding_migration,0.3027860135148627,0.0281249909203491,0.0596185573745107,98.0,30.278601351486266,0.40362857833498317,common,40.36285783349832,,peak_abundance_with_occupancy_days_modifiers,0.3027860135148627
litsti,SD,0.8610739612362246,0.7410999999999999,1.3657,postbreeding_migration,0.8674,0.1597,0.1673,119.0,86.74,0.3590957332474915,common,35.90957332474915,,peak_abundance_with_occupancy_days_modifiers,0.8674
wfwduc1,SD,0.7137827941600169,1.0417,1.0417,resident,0.1284,0.0321,0.1049,365.0,12.839999999999998,0.2976705456060324,common,29.76705456060324,,peak_abundance_with_occupancy_days_modifiers,0.1284
euhbuz1,SD,0.7126556469479883,0.37120000000000003,1.0394,prebreeding_migration,0.0888,0.0265,0.1304,63.0,8.88,0.2972004887087129,common,29.72004887087129,,peak_abundance_with_occupancy_days_modifiers,0.0888
banswa,SD,0.5480057948902745,0.46513333333333334,0.7298,prebreeding_migration,0.7815,,,,78.14999999999999,0.22853616715743616,fairly_common,22.853616715743616,,peak_abundance_with_occupancy_days_modifiers,0.7815
eaywag1,SD,0.528036660496345,0.6029666666666667,0.6956,postbreeding_migration,0.9622,0.1097,0.1195,126.0,96.22,0.2202083912864636,fairly_common,22.02083912864636,,peak_abundance_with_occupancy_days_modifiers,0.9622
bkwsti,SD,0.47567501648296745,0.2183,0.6091,postbreeding_migration,0.6388,0.069,0.0536,105.0,63.88,0.19837188966465968,fairly_common,19.83718896646597,,peak_abundance_with_occupancy_days_modifiers,0.6388
blakit1,SD,0.4686276830658045,0.431025,0.5978,postbreeding_migration,0.8951,0.0583,0.0697,147.0,89.51,0.1954329233565362,fairly_common,19.54329233565362,,peak_abundance_with_occupancy_days_modifiers,0.8951
eubeat1,SD,0.41554744344967676,0.2187,0.5152,postbreeding_migration,0.9939,0.0595,0.0366,91.0,99.39,0.17329674409205048,fairly_common,17.329674409205047,,peak_abundance_with_occupancy_days_modifiers,0.9939
ruff,SD,0.38130901823040525,0.19936666666666666,0.4642,postbreeding_migration,0.734,0.0626,0.0678,140.0,73.4,0.1590182117442574,fairly_common,15.90182117442574,,peak_abundance_with_occupancy_days_modifiers,0.734
gloibi,SD,0.33031043450740394,0.13005,0.3914,postbreeding_migration,0.7529,,,,75.29,0.13775015041500455,fairly_common,13.775015041500454,,peak_abundance_with_occupancy_days_modifiers,0.7529
spwlap1,SD,0.32128607986555846,0.30995,0.3789,nonbreeding,0.4565,0.2305,0.2292,77.0,45.65,0.13398670221765524,fairly_common,13.398670221765524,,peak_abundance_with_occupancy_days_modifiers,0.4565
litswi1,SD,0.2906526558966138,0.1784,0.3373,breeding,0.3301,0.0334,0.0393,63.0,33.01,0.1212115721623734,fairly_common,12.12115721623734,,peak_abundance_with_occupancy_days_modifiers,0.3301
whiwag,SD,0.2801286167968667,0.2105,0.3233,nonbreeding,0.3651,0.0354,0.0269,77.0,36.51,0.11682270696916358,fairly_common,11.682270696916358,,peak_abundance_with_occupancy_days_modifiers,0.3651
isawhe1,SD,0.27162890712953297,0.2446,0.3121,nonbreeding,0.9433,,,,94.33,0.11327805272018367,fairly_common,11.327805272018367,,peak_abundance_with_occupancy_days_modifiers,0.9433
steeag1,SD,0.2109090136458672,0.11956666666666667,0.2348,prebreeding_migration,0.6418,0.1132,0.0984,98.0,64.18,0.08795589033366495,fairly_common,8.795589033366495,,peak_abundance_with_occupancy_days_modifiers,0.6418
spepig1,SD,0.18706031114112806,0.2057,0.2057,resident,0.2349,0.0872,0.0828,365.0,23.49,0.07801020889574821,fairly_common,7.801020889574821,,peak_abundance_with_occupancy_days_modifiers,0.2349
sacibi2,SD,0.17263842814800112,0.1884363222680049,0.1884363222680049,resident,0.2511858228343778,0.2702708733497848,0.1276293977743309,365.0,25.118582283437778,0.07199581654228385,uncommon,7.199581654228385,,peak_abundance_with_occupancy_days_modifiers,0.2511858228343778
hoopoe,SD,0.16458180031594472,0.10765,0.1789,postbreeding_migration,0.9887,0.0703,0.0752,112.0,98.87,0.06863594177066622,uncommon,6.863594177066622,,peak_abundance_with_occupancy_days_modifiers,0.9887
woosan,SD,0.15837033597144137,0.131,0.1716,postbreeding_migration,0.8902,0.0617,0.0432,161.0,89.02,0.06604555994083151,uncommon,6.604555994083151,,peak_abundance_with_occupancy_days_modifiers,0.8902
graher1,SD,0.14816135098052052,0.0868,0.1597,postbreeding_migration,0.6642,0.0403,0.022,147.0,66.42,0.06178808251605355,uncommon,6.178808251605354,,peak_abundance_with_occupancy_days_modifiers,0.6642
squher1,SD,0.14453315073229836,0.0753,0.1555,postbreeding_migration,0.7046,0.1078,0.1298,119.0,70.46,0.06027500548997143,uncommon,6.027500548997143,,peak_abundance_with_occupancy_days_modifiers,0.7046
whisto1,SD,0.1331313126031829,0.0806,0.1424,prebreeding_migration,0.0669,,,,6.69,0.055520069668354294,uncommon,5.552006966835429,,peak_abundance_with_occupancy_days_modifiers,0.0669
comsan,SD,0.11991409666533759,0.08289999999999999,0.1274,nonbreeding,0.7239,0.0801,0.0736,126.0,72.39,0.05000806249782395,uncommon,5.000806249782395,,peak_abundance_with_occupancy_days_modifiers,0.7239
norwhe,SD,0.11733849241723332,0.08296666666666667,0.1245,prebreeding_migration,0.9859,,,,98.59,0.04893395209887463,uncommon,4.893395209887463,,peak_abundance_with_occupancy_days_modifiers,0.9859
whrswi1,SD,0.10957163642929092,0.1158,0.1158,breeding,0.4121,,,,41.21,0.045694921572375216,uncommon,4.569492157237522,,peak_abundance_with_occupancy_days_modifiers,0.4121
leskes1,SD,0.10634003577132656,0.044533333333333334,0.1122,prebreeding_migration,0.4888,0.0874,0.0867,119.0,48.88,0.044347239421856234,uncommon,4.434723942185624,,peak_abundance_with_occupancy_days_modifiers,0.4888
marsan,SD,0.10517049760553963,0.04823333333333333,0.1109,postbreeding_migration,0.8171,0.0936,0.0751,98.0,81.71000000000001,0.04385950412371617,uncommon,4.385950412371617,,peak_abundance_with_occupancy_days_modifiers,0.8171
egyvul1,SD,0.10417981890966381,0.044700000000000004,0.1098,postbreeding_migration,0.6277,0.1284,0.1282,84.0,62.77,0.043446359018041975,uncommon,4.344635901804198,,peak_abundance_with_occupancy_days_modifiers,0.6277
eurkes,SD,0.0972174507153592,0.0412,0.1021,nonbreeding,0.8915,0.0531,0.0432,98.0,89.14999999999999,0.04054282595999509,uncommon,4.054282595999509,,peak_abundance_with_occupancy_days_modifiers,0.8915
spofly1,SD,0.09358141362153052,0.047966666666666664,0.0981,postbreeding_migration,0.9991,0.0391,0.0306,98.0,99.91,0.03902648071544844,uncommon,3.902648071544844,,peak_abundance_with_occupancy_days_modifiers,0.9991
wlwwar,SD,0.08974929214360806,0.06239999999999999,0.0939,postbreeding_migration,0.9996,0.0441,0.0247,112.0,99.96000000000001,0.037428361931282225,uncommon,3.7428361931282224,,peak_abundance_with_occupancy_days_modifiers,0.9996
tawpip1,SD,0.08819401073591628,0.04226666666666667,0.0922,prebreeding_migration,0.3058,,,,30.580000000000002,0.03677975920649484,uncommon,3.6779759206494838,,peak_abundance_with_occupancy_days_modifiers,0.3058
rocpig,SD,0.08773611430408679,0.0917,0.0917,resident,0.0658,0.0071,0.0034,365.0,6.58,0.03658880156250429,uncommon,3.658880156250429,,peak_abundance_with_occupancy_days_modifiers,0.0658
blhher1,SD,0.08755289700786154,0.0915,0.0915,resident,0.2341,,,,23.41,0.0365123940153092,uncommon,3.65123940153092,,peak_abundance_with_occupancy_days_modifiers,0.2341
leswhi4,SD,0.08700304362157402,0.04973333333333333,0.0909,prebreeding_migration,0.1873,0.027,0.0259,91.0,18.73,0.036283087342693025,uncommon,3.6283087342693023,,peak_abundance_with_occupancy_days_modifiers,0.1873
retpip,SD,0.08590242900070338,0.04893333333333333,0.0897,prebreeding_migration,0.4391,,,,43.91,0.0358240953953149,uncommon,3.58240953953149,,peak_abundance_with_occupancy_days_modifiers,0.4391
comswi,SD,0.08102683864237341,0.06376666666666667,0.0844,postbreeding_migration,0.8526,0.0517,0.013,112.0,85.26,0.033790816288575526,uncommon,3.3790816288575525,,peak_abundance_with_occupancy_days_modifiers,0.8526
piecro1,SD,0.07834896641097641,0.0815,0.0815,resident,0.0616,0.0162,0.0415,365.0,6.16,0.0326740568279874,uncommon,3.26740568279874,,peak_abundance_with_occupancy_days_modifiers,0.0616
gargan,SD,0.07816402096935436,0.029300000000000003,0.0813,postbreeding_migration,0.3386,0.0365,0.0161,98.0,33.86,0.032596928588184755,uncommon,3.2596928588184757,,peak_abundance_with_occupancy_days_modifiers,0.3386
combul2,SD,0.07457805050927921,0.0774294341566022,0.0774294341566022,resident,0.1212351037834261,0.0144567269282311,0.0040053465737046,365.0,12.12351037834261,0.03110146275164294,uncommon,3.110146275164294,,peak_abundance_with_occupancy_days_modifiers,0.1212351037834261
orabis1,SD,0.0644760191843648,0.0666,0.0666,resident,0.2038,0.1107,0.0753,365.0,20.380000000000003,0.026888588469971227,uncommon,2.688858846997123,,peak_abundance_with_occupancy_days_modifiers,0.2038
grnsan,SD,0.06335031550076171,0.03273333333333333,0.0654,postbreeding_migration,0.665,0.0385,0.0275,91.0,66.5,0.026419133570763118,uncommon,2.641913357076312,,peak_abundance_with_occupancy_days_modifiers,0.665
grefla3,SD,0.06295038578173633,0.0649740000680449,0.0649740000680449,nonbreeding,0.0073140357471202,0.0032081924924452,0.0011048111926575,0.0,0.73140357471202,0.026252349923636408,very_rare,2.625234992363641,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0073140357471202
greegr,SD,0.06071873503470581,0.041800000000000004,0.0626,breeding,0.3387,0.0219,0.0081,133.0,33.87,0.025321679275778525,uncommon,2.5321679275778526,,peak_abundance_with_occupancy_days_modifiers,0.3387
eugori2,SD,0.060248080345356884,0.0369,0.0621,postbreeding_migration,0.9915,,,,99.15,0.02512540102514433,uncommon,2.512540102514433,,peak_abundance_with_occupancy_days_modifiers,0.9915
litegr,SD,0.05911760448308881,0.03175,0.0609,nonbreeding,0.1703,0.0252,0.0095,84.0,17.03,0.02465395597285525,uncommon,2.465395597285525,,peak_abundance_with_occupancy_days_modifiers,0.1703
vilwea1,SD,0.05712551709086331,0.0587886981327131,0.0587886981327131,resident,0.1148889682047408,0.0208962784713322,0.0052442982490633,365.0,11.48889682047408,0.023823191003749355,uncommon,2.3823191003749358,,peak_abundance_with_occupancy_days_modifiers,0.1148889682047408
wookin1,SD,0.05078816683210506,0.04285,0.0521,breeding,0.6309,0.0739,0.0448,119.0,63.09,0.021180310670046373,uncommon,2.118031067004637,,peak_abundance_with_occupancy_days_modifiers,0.6309
comchi1,SD,0.050312813873589095,0.023799999999999998,0.0516,prebreeding_migration,0.1408,0.0101,0.008,63.0,14.08,0.020982073088985892,uncommon,2.0982073088985893,,peak_abundance_with_occupancy_days_modifiers,0.1408
grwpel1,SD,0.05021771616061742,0.03235,0.0515,breeding,0.2622,0.1027,0.0306,84.0,26.22,0.020942414262326344,uncommon,2.0942414262326343,,peak_abundance_with_occupancy_days_modifiers,0.2622
monhar1,SD,0.04631090286325025,0.03043333333333333,0.0474,postbreeding_migration,0.9422,0.097,0.1083,84.0,94.22,0.01931314657007727,rare,1.931314657007727,,peak_abundance_with_occupancy_days_modifiers,0.9422
wemhar1,SD,0.04200529414503013,0.027266666666666665,0.0429,nonbreeding,0.3518,0.0412,0.0131,70.0,35.18,0.01751756826978078,rare,1.7517568269780779,,peak_abundance_with_occupancy_days_modifiers,0.3518
hadibi1,SD,0.03883602378519815,0.0396,0.0396,resident,0.1213,0.0251,0.0191,365.0,12.13,0.016195879872550122,rare,1.6195879872550123,,peak_abundance_with_occupancy_days_modifiers,0.1213
fuwduc,SD,0.03739211921706267,0.019425,0.0381,prebreeding_migration,0.1337,,,,13.370000000000001,0.015593724897512167,rare,1.5593724897512167,,peak_abundance_with_occupancy_days_modifiers,0.1337
rutscr1,SD,0.035946126773469124,0.0128,0.0366,postbreeding_migration,0.7159,,,,71.59,0.01499069921077894,rare,1.4990699210778942,,peak_abundance_with_occupancy_days_modifiers,0.7159
combuz1,SD,0.03498096889524552,0.01845,0.0356,postbreeding_migration,0.0689,0.0056,0.0063,77.0,6.890000000000001,0.014588197112721444,rare,1.4588197112721444,,peak_abundance_with_occupancy_days_modifiers,0.0689
lessts1,SD,0.03391821820346067,0.023200000000000002,0.0345,nonbreeding,0.0755,0.0139,0.0095,28.0,7.55,0.014144995650238594,rare,1.4144995650238594,rare,peak_abundance_with_occupancy_days_modifiers,0.0755
reedov1,SD,0.03382154847551067,0.0344,0.0344,resident,0.2383,0.0324,0.0065,365.0,23.830000000000002,0.014104681242413281,rare,1.4104681242413282,,peak_abundance_with_occupancy_days_modifiers,0.2383
bkskit1,SD,0.03362818097998405,0.0342,0.0342,resident,0.3394,0.0533,0.0446,365.0,33.94,0.014024040733330106,rare,1.4024040733330105,,peak_abundance_with_occupancy_days_modifiers,0.3394
corplo,SD,0.03285433687094718,0.010549999999999999,0.0334,postbreeding_migration,0.253,0.058,0.0224,77.0,25.3,0.013701322673948933,rare,1.3701322673948932,,peak_abundance_with_occupancy_days_modifiers,0.253
afghor1,SD,0.031207927124193163,0.0317,0.0317,resident,0.18,0.0388,0.0188,365.0,18.0,0.0130147164799959,rare,1.30147164799959,,peak_abundance_with_occupancy_days_modifiers,0.18
palhar1,SD,0.031207927124193163,0.0244,0.0317,prebreeding_migration,0.8346,0.0992,0.0828,91.0,83.46000000000001,0.0130147164799959,rare,1.30147164799959,,peak_abundance_with_occupancy_days_modifiers,0.8346
afcdov1,SD,0.030836354271562755,0.0169607066070556,0.0313167195006653,breeding,0.0135175377365748,0.0039606044132834,0.0074380734930383,21.0,1.35175377365748,0.012859758564675123,rare,1.2859758564675123,rare,peak_abundance_with_occupancy_days_modifiers,0.0135175377365748
trepip,SD,0.029267497680568088,0.01863333333333333,0.0297,prebreeding_migration,0.3947,0.023,0.0085,63.0,39.47,0.012205494548730916,rare,1.2205494548730915,,peak_abundance_with_occupancy_days_modifiers,0.3947
crelar1,SD,0.027906953253007873,0.01885,0.0283,nonbreeding,0.1551,0.0205,0.0032,49.0,15.509999999999998,0.01163810345246652,rare,1.163810345246652,,peak_abundance_with_occupancy_days_modifiers,0.1551
comcra,SD,0.025765207886026414,0.010566666666666667,0.0261,prebreeding_migration,0.0044,0.0032,0.0031,21.0,0.44,0.010744926260252448,very_rare,1.0744926260252448,rare,peak_abundance_with_occupancy_days_modifiers,0.0044
afpswi1,SD,0.025265097662192162,0.0255869651969917,0.0255869651969917,resident,0.0435761546846074,0.0093555639830516,0.0074028993421511,365.0,4.3576154684607395,0.010536364097631163,rare,1.0536364097631163,rare,peak_abundance_with_occupancy_days_modifiers,0.0435761546846074
marsto1,SD,0.02467520539162339,0.0249821577765752,0.0249821577765752,resident,0.0062734746796608,0.0015376079892208,0.0133208449881181,365.0,0.62734746796608,0.010290359913353156,very_rare,1.0290359913353155,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0062734746796608
egygoo,SD,0.024595046855380207,0.0249,0.0249,resident,0.0431,,,,4.31,0.010256931207290565,rare,1.0256931207290565,rare,peak_abundance_with_occupancy_days_modifiers,0.0431
grewhi1,SD,0.024009452460351865,0.016566666666666667,0.0243,nonbreeding,0.2225,0.0602,0.0689,84.0,22.25,0.010012719376327289,rare,1.0012719376327288,,peak_abundance_with_occupancy_days_modifiers,0.2225
eurrol1,SD,0.022837233902757225,0.011775,0.0231,prebreeding_migration,0.1827,0.0507,0.015,112.0,18.27,0.009523866267981677,rare,0.9523866267981678,,peak_abundance_with_occupancy_days_modifiers,0.1827
rebshr1,SD,0.022543964434894502,0.012966666666666668,0.0228,prebreeding_migration,0.3703,0.0263,0.0108,56.0,37.03,0.009401563400467184,rare,0.9401563400467183,,peak_abundance_with_occupancy_days_modifiers,0.3703
palswi3,SD,0.019900661706336167,0.01065,0.0201,postbreeding_migration,0.0602,,,,6.02,0.008299220542318296,rare,0.8299220542318295,,peak_abundance_with_occupancy_days_modifiers,0.0602
whinch1,SD,0.019410393519823325,0.0173,0.0196,postbreeding_migration,0.9034,0.0564,0.0157,84.0,90.34,0.00809476282805764,rare,0.809476282805764,,peak_abundance_with_occupancy_days_modifiers,0.9034
