species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comgra,US-DE,4.537742160918655,39.830925,92.4795,nonbreeding,0.9324,0.003,0.0187,112.0,93.24,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9324
eursta,US-DE,2.9468571057718544,11.394525,18.046,nonbreeding,0.9585,0.0005,0.0008,140.0,95.85000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9585
cangoo,US-DE,3.653291135819378,19.8694,37.6015,nonbreeding,0.9524,0.0024,0.0058,119.0,95.24000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9524
rewbla,US-DE,4.60109188099622,36.9641,98.593,nonbreeding,0.9524,0.0013,0.0057,126.0,95.24000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9524
snogoo,US-DE,5.42430090817712,82.53785,225.8527,nonbreeding,0.8766,0.0082,0.0097,140.0,87.66000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8766
laugul,US-DE,2.208768796789761,3.839425,8.1045,breeding,0.9015,0.0158,0.0122,161.0,90.14999999999999,0.9211281334284891,abundant,92.11281334284891,,peak_abundance_with_occupancy_days_modifiers,0.9015
amerob,US-DE,2.149095861028577,4.96545,7.5771,postbreeding_migration,0.9493,0.0009,0.0017,98.0,94.93,0.8962425863246971,abundant,89.6242586324697,,peak_abundance_with_occupancy_days_modifiers,0.9493
bnhcow,US-DE,1.9192874607808936,3.0841,5.8161,postbreeding_migration,0.9509,0.0021,0.0035,147.0,95.09,0.8004050396000254,abundant,80.04050396000254,,peak_abundance_with_occupancy_days_modifiers,0.9509
amhgul1,US-DE,1.8262380260130742,3.011083918175381,5.2104789961926015,nonbreeding,0.1896373693620539,0.002987804925155,0.0123627247056265,133.0,18.96373693620539,0.7616004112981272,abundant,76.16004112981271,,peak_abundance_with_occupancy_days_modifiers,0.1896373693620539
whtspa,US-DE,1.7512325700517746,2.274525,4.7617,nonbreeding,0.9432,0.0021,0.0069,98.0,94.32000000000001,0.7303207066287204,common,73.03207066287204,,peak_abundance_with_occupancy_days_modifiers,0.9432
treswa,US-DE,1.5247075682735172,1.5995333333333333,3.5938,postbreeding_migration,0.8137,0.0006,0.0021,161.0,81.37,0.6358524434197521,common,63.58524434197521,,peak_abundance_with_occupancy_days_modifiers,0.8137
turvul,US-DE,1.4625375520706234,2.785775,3.3169,nonbreeding,0.9616,0.0003,0.0014,126.0,96.16,0.6099255328877753,common,60.99255328877753,,peak_abundance_with_occupancy_days_modifiers,0.9616
tunswa,US-DE,1.4491752591590916,1.3483999999999998,3.2596,nonbreeding,0.5095,0.0057,0.005,56.0,50.949999999999996,0.6043530239199679,common,60.43530239199679,,peak_abundance_with_occupancy_days_modifiers,0.5095
daejun,US-DE,1.3859943161108885,1.6962666666666666,2.9988,nonbreeding,0.8916,0.0008,0.001,98.0,89.16,0.5780045241481366,common,57.80045241481366,,peak_abundance_with_occupancy_days_modifiers,0.8916
ribgul,US-DE,1.385068610194072,1.7236500000000001,2.9951,nonbreeding,0.3307,0.0041,0.0029,105.0,33.07,0.5776184747958909,common,57.76184747958909,,peak_abundance_with_occupancy_days_modifiers,0.3307
sonspa,US-DE,1.2124765448171568,1.197775,2.3618,nonbreeding,0.9601,0.001,0.0033,119.0,96.00999999999999,0.5056419930309062,common,50.56419930309062,,peak_abundance_with_occupancy_days_modifiers,0.9601
semsan,US-DE,1.19058356720692,0.9055500000000001,2.289,prebreeding_migration,0.0794,0.0003,0.0042,133.0,7.9399999999999995,0.4965119122227117,common,49.651191222271166,,peak_abundance_with_occupancy_days_modifiers,0.0794
dunlin,US-DE,1.0983122436591077,0.7625500000000001,1.9991,prebreeding_migration,0.0898,0.0003,0.0005,70.0,8.98,0.45803178150368723,common,45.80317815036872,,peak_abundance_with_occupancy_days_modifiers,0.0898
barswa,US-DE,1.090949672332764,1.2210666666666667,1.9771,breeding,0.9608,0.0001,0.0002,112.0,96.08,0.4549613507764305,common,45.49613507764305,,peak_abundance_with_occupancy_days_modifiers,0.9608
moudov,US-DE,1.0639518284044849,1.639775,1.8978,breeding,0.9647,0.0009,0.0011,119.0,96.47,0.4437023753597217,common,44.370237535972166,,peak_abundance_with_occupancy_days_modifiers,0.9647
amecro,US-DE,1.031724343126478,1.3339250000000002,1.8059,nonbreeding,0.9298,0.0011,0.0008,147.0,92.97999999999999,0.4302624701046448,common,43.02624701046448,,peak_abundance_with_occupancy_days_modifiers,0.9298
norcar,US-DE,1.0165703616644934,1.7637,1.7637,resident,0.9324,0.0013,0.0013,365.0,93.24,0.4239427689759547,common,42.39427689759547,,peak_abundance_with_occupancy_days_modifiers,0.9324
blujay,US-DE,0.9634414576604873,0.9939,1.6207,postbreeding_migration,0.9217,0.0009,0.0008,112.0,92.17,0.40178629508541475,common,40.178629508541476,,peak_abundance_with_occupancy_days_modifiers,0.9217
carwre,US-DE,0.8928992724167844,1.4422,1.4422,resident,0.9309,0.002,0.0027,365.0,93.08999999999999,0.3723679188769411,common,37.23679188769411,,peak_abundance_with_occupancy_days_modifiers,0.9309
doccor,US-DE,0.8708330089493718,0.926425,1.3889,postbreeding_migration,0.2114,0.0014,0.0026,147.0,21.14,0.36316557225332863,common,36.316557225332865,,peak_abundance_with_occupancy_days_modifiers,0.2114
amegfi,US-DE,0.8507917496414593,1.172825,1.3415,prebreeding_migration,0.916,0.0009,0.0016,112.0,91.60000000000001,0.3548077179569964,common,35.48077179569964,,peak_abundance_with_occupancy_days_modifiers,0.916
horlar,US-DE,0.8408772925842809,0.66805,1.3184,nonbreeding,0.4112,,,,41.120000000000005,0.3506730682207683,common,35.06730682207683,,peak_abundance_with_occupancy_days_modifiers,0.4112
sursco,US-DE,0.8285954847349943,0.7098,1.2901,nonbreeding,0.0921,0.004,0.0066,84.0,9.21,0.34555115652236723,common,34.55511565223672,,peak_abundance_with_occupancy_days_modifiers,0.0921
yerwar,US-DE,0.8221119118409441,0.7331666666666666,1.2753,postbreeding_migration,0.9647,0.001,0.0007,91.0,96.47,0.3428472966133881,common,34.28472966133881,,peak_abundance_with_occupancy_days_modifiers,0.9647
blksco2,US-DE,0.8007900895753018,0.472075,1.2273,nonbreeding,0.0904,0.0021,0.0078,105.0,9.04,0.33395540608442453,common,33.39554060844245,,peak_abundance_with_occupancy_days_modifiers,0.0904
purmar,US-DE,0.7071487001957589,0.6747333333333333,1.0282,postbreeding_migration,0.9411,0.0022,0.0043,105.0,94.11,0.2949039135351847,common,29.49039135351847,,peak_abundance_with_occupancy_days_modifiers,0.9411
rudtur,US-DE,0.6670085229502506,0.2461,0.9484,prebreeding_migration,0.1283,0.0001,0.0,70.0,12.83,0.2781641594262972,fairly_common,27.816415942629718,,peak_abundance_with_occupancy_days_modifiers,0.1283
mallar3,US-DE,0.656586925248143,0.554725,0.9282,nonbreeding,0.3792,0.0002,0.0,126.0,37.92,0.27381801561412583,fairly_common,27.381801561412583,,peak_abundance_with_occupancy_days_modifiers,0.3792
gbbgul,US-DE,0.6555491501446269,0.9262,0.9262,resident,0.1277,0.0014,0.0042,365.0,12.770000000000001,0.2733852297809461,fairly_common,27.33852297809461,,peak_abundance_with_occupancy_days_modifiers,0.1277
carchi,US-DE,0.6376873233555782,0.8921,0.8921,resident,0.8494,0.0024,0.0019,365.0,84.94,0.26593626943990345,common,26.593626943990344,,peak_abundance_with_occupancy_days_modifiers,0.8494
ambduc,US-DE,0.6152396916834197,0.31445,0.8501,nonbreeding,0.1838,0.0099,0.019,147.0,18.38,0.25657487992185246,fairly_common,25.657487992185246,,peak_abundance_with_occupancy_days_modifiers,0.1838
chispa,US-DE,0.6110690695243384,0.610625,0.8424,breeding,0.8488,0.0011,0.0009,147.0,84.88,0.25483559538912387,fairly_common,25.483559538912388,,peak_abundance_with_occupancy_days_modifiers,0.8488
indbun,US-DE,0.6084603723927514,0.4092,0.8376,breeding,0.8781,0.0012,0.0013,84.0,87.81,0.2537476841858366,fairly_common,25.37476841858366,,peak_abundance_with_occupancy_days_modifiers,0.8781
norfli,US-DE,0.6026752773958697,0.42927499999999996,0.827,postbreeding_migration,0.957,0.0007,0.0011,112.0,95.7,0.25133511218467053,fairly_common,25.133511218467053,,peak_abundance_with_occupancy_days_modifiers,0.957
fiscro,US-DE,0.5807061012141959,0.589375,0.7873,nonbreeding,0.419,0.0038,0.0064,147.0,41.9,0.24217325410400653,fairly_common,24.217325410400655,,peak_abundance_with_occupancy_days_modifiers,0.419
bkbplo,US-DE,0.544415126759546,0.20097500000000001,0.7236,prebreeding_migration,0.1261,0.0004,0.0025,140.0,12.61,0.22703874224006762,fairly_common,22.70387422400676,,peak_abundance_with_occupancy_days_modifiers,0.1261
easblu,US-DE,0.5421498570080168,0.491525,0.7197,nonbreeding,0.8218,0.0013,0.0014,105.0,82.17999999999999,0.22609405137836638,fairly_common,22.60940513783664,,peak_abundance_with_occupancy_days_modifiers,0.8218
killde,US-DE,0.5372533156012691,0.265725,0.7113,postbreeding_migration,0.7001,0.0007,0.0007,161.0,70.00999999999999,0.22405203500580256,fairly_common,22.405203500580257,,peak_abundance_with_occupancy_days_modifiers,0.7001
tuftit,US-DE,0.5333891421747421,0.7047,0.7047,resident,0.8103,0.0019,0.0014,365.0,81.03,0.22244054952085998,common,22.244054952086,,peak_abundance_with_occupancy_days_modifiers,0.8103
comyel,US-DE,0.47175209977985244,0.2969,0.6028,breeding,0.9563,0.0007,0.0016,133.0,95.63000000000001,0.1967359063306015,fairly_common,19.67359063306015,,peak_abundance_with_occupancy_days_modifiers,0.9563
blugrb1,US-DE,0.4490991451282257,0.299,0.5669,breeding,0.8366,0.001,0.0017,84.0,83.66,0.1872888904794086,fairly_common,18.72888904794086,,peak_abundance_with_occupancy_days_modifiers,0.8366
savspa,US-DE,0.43657610313321704,0.225325,0.5474,nonbreeding,0.7459,0.0015,0.001,112.0,74.59,0.1820663763283239,fairly_common,18.20663763283239,,peak_abundance_with_occupancy_days_modifiers,0.7459
rebwoo,US-DE,0.42996257970855184,0.5372,0.5372,resident,0.8588,0.0015,0.0013,365.0,85.88,0.17930832283879547,common,17.930832283879546,,peak_abundance_with_occupancy_days_modifiers,0.8588
cedwax,US-DE,0.42376333638954006,0.335975,0.5277,postbreeding_migration,0.6695,0.0007,0.0006,126.0,66.95,0.17672303757244717,fairly_common,17.672303757244716,,peak_abundance_with_occupancy_days_modifiers,0.6695
normoc,US-DE,0.40031855395528526,0.43224999999999997,0.4923,postbreeding_migration,0.9524,0.0013,0.0013,112.0,95.24000000000001,0.16694580388746877,fairly_common,16.69458038874688,,peak_abundance_with_occupancy_days_modifiers,0.9524
buffle,US-DE,0.3947411447451887,0.2682333333333333,0.484,nonbreeding,0.1338,0.0016,0.003,105.0,13.38,0.1646198435866306,fairly_common,16.46198435866306,,peak_abundance_with_occupancy_days_modifiers,0.1338
grycat,US-DE,0.3918393645263515,0.30125,0.4797,postbreeding_migration,0.9539,0.0025,0.0017,126.0,95.39,0.16340970724258136,fairly_common,16.340970724258135,,peak_abundance_with_occupancy_days_modifiers,0.9539
swaspa,US-DE,0.38974214764292814,0.252825,0.4766,postbreeding_migration,0.9361,0.002,0.0023,112.0,93.61,0.16253509987035195,fairly_common,16.253509987035194,,peak_abundance_with_occupancy_days_modifiers,0.9361
amepip,US-DE,0.3858744583431602,0.2930333333333333,0.4709,nonbreeding,0.4288,0.0013,0.0015,56.0,42.88,0.16092214815238376,fairly_common,16.092214815238375,,peak_abundance_with_occupancy_days_modifiers,0.4288
blkvul,US-DE,0.3832876631634613,0.4671,0.4671,resident,0.9182,0.0003,0.0001,365.0,91.82000000000001,0.15984337077246927,common,15.984337077246927,,peak_abundance_with_occupancy_days_modifiers,0.9182
forter,US-DE,0.3623488170345363,0.19595,0.4367,postbreeding_migration,0.1602,0.0036,0.0098,147.0,16.02,0.15111119369765938,fairly_common,15.111119369765937,,peak_abundance_with_occupancy_days_modifiers,0.1602
reevir1,US-DE,0.3612345331947491,0.2902666666666667,0.4351,breeding,0.8147,0.0007,0.001,91.0,81.47,0.1506465012432275,fairly_common,15.064650124322752,,peak_abundance_with_occupancy_days_modifiers,0.8147
fiespa,US-DE,0.3339691064030944,0.30495,0.3965,nonbreeding,0.8164,0.0019,0.0026,119.0,81.64,0.13927593510510106,fairly_common,13.927593510510105,,peak_abundance_with_occupancy_days_modifiers,0.8164
easkin,US-DE,0.33382588096601196,0.25816666666666666,0.3963,breeding,0.9421,0.0009,0.0007,56.0,94.21000000000001,0.13921620545856178,fairly_common,13.921620545856179,,peak_abundance_with_occupancy_days_modifiers,0.9421
baleag,US-DE,0.31152066193162264,0.21209999999999998,0.3655,nonbreeding,0.9588,0.0013,0.0018,154.0,95.88,0.12991420662340872,fairly_common,12.991420662340872,,peak_abundance_with_occupancy_days_modifiers,0.9588
grcfly,US-DE,0.30726408717950326,0.21596666666666667,0.3597,breeding,0.8945,0.0012,0.0018,70.0,89.45,0.1281390770752564,fairly_common,12.81390770752564,,peak_abundance_with_occupancy_days_modifiers,0.8945
boboli,US-DE,0.3004008448595556,0.119,0.3504,postbreeding_migration,0.753,0.0013,0.0038,112.0,75.3,0.1252768827176445,fairly_common,12.52768827176445,,peak_abundance_with_occupancy_days_modifiers,0.753
dowwoo,US-DE,0.29087696334830015,0.3376,0.3376,resident,0.8571,0.0009,0.0011,365.0,85.71,0.12130511563536449,common,12.130511563536448,,peak_abundance_with_occupancy_days_modifiers,0.8571
gnwtea,US-DE,0.2889312918522129,0.143275,0.335,prebreeding_migration,0.068,0.0,0.0,147.0,6.800000000000001,0.12049370759842516,fairly_common,12.049370759842516,,peak_abundance_with_occupancy_days_modifiers,0.068
eawpew,US-DE,0.27444484566976046,0.1940666666666667,0.3158,breeding,0.8078,0.0012,0.0012,84.0,80.78,0.11445239030371844,fairly_common,11.445239030371845,,peak_abundance_with_occupancy_days_modifiers,0.8078
redkno,US-DE,0.26758140074477804,0.10263333333333334,0.3068,prebreeding_migration,0.0567,,,,5.67,0.11159011145324438,fairly_common,11.159011145324438,,peak_abundance_with_occupancy_days_modifiers,0.0567
chiswi,US-DE,0.26466929814270806,0.3004,0.303,breeding,0.5911,0.0017,0.0022,119.0,59.11,0.11037567034103035,fairly_common,11.037567034103034,,peak_abundance_with_occupancy_days_modifiers,0.5911
ruckin,US-DE,0.2642087162661388,0.1895,0.3024,postbreeding_migration,0.9631,0.0011,0.0004,98.0,96.31,0.11018359277959802,fairly_common,11.018359277959803,,peak_abundance_with_occupancy_days_modifiers,0.9631
buggna,US-DE,0.2639783457525456,0.140875,0.3021,prebreeding_migration,0.8136,0.0007,0.0008,105.0,81.36,0.11008752081340063,fairly_common,11.008752081340063,,peak_abundance_with_occupancy_days_modifiers,0.8136
grbher3,US-DE,0.26251809878823135,0.205625,0.3002,breeding,0.9268,0.0011,0.0015,175.0,92.67999999999999,0.10947855052980264,fairly_common,10.947855052980264,,peak_abundance_with_occupancy_days_modifiers,0.9268
osprey,US-DE,0.2610557163840707,0.20650000000000002,0.2983,breeding,0.2608,0.0001,0.0018,147.0,26.08,0.1088686896986188,fairly_common,10.886868969861881,,peak_abundance_with_occupancy_days_modifiers,0.2608
wooduc,US-DE,0.25642357654900866,0.158475,0.2923,prebreeding_migration,0.7461,0.0012,0.0018,133.0,74.61,0.10693693734579135,fairly_common,10.693693734579135,,peak_abundance_with_occupancy_days_modifiers,0.7461
gockin,US-DE,0.2502916832332218,0.20879999999999999,0.2844,nonbreeding,0.839,0.0008,0.0007,98.0,83.89999999999999,0.10437973921235041,fairly_common,10.437973921235042,,peak_abundance_with_occupancy_days_modifiers,0.839
houfin,US-DE,0.2424754796137017,0.2744,0.2744,resident,0.3553,0.0007,0.0004,365.0,35.53,0.10112012912504309,fairly_common,10.112012912504309,,peak_abundance_with_occupancy_days_modifiers,0.3553
