species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,US-TN,2.41016514366067,5.263824999999999,10.1358,nonbreeding,0.738,0.0067,0.0088,140.0,73.8,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.738
snogoo,US-TN,3.2480462021679806,12.232233333333333,24.74,nonbreeding,0.063,0.0112,0.0204,105.0,6.3,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.063
rewbla,US-TN,2.9092044160136257,7.191275,17.3422,nonbreeding,0.7141,0.0189,0.019,126.0,71.41,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7141
comgra,US-TN,3.297457773845369,9.724475,26.0438,nonbreeding,0.5215,0.0324,0.1007,112.0,52.15,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5215
amerob,US-TN,2.167887306110423,3.666225,7.7398,nonbreeding,0.9714,0.017,0.0413,98.0,97.14,0.9040792276054966,abundant,90.40792276054967,,peak_abundance_with_occupancy_days_modifiers,0.9714
amecro,US-TN,1.6628838881397263,2.960225,4.2745,nonbreeding,0.9998,0.0231,0.0366,147.0,99.98,0.6934764445317589,common,69.34764445317589,,peak_abundance_with_occupancy_days_modifiers,0.9998
mallar3,US-TN,1.5807091656012286,1.6973500000000001,3.8584,nonbreeding,0.1455,0.0016,0.0026,126.0,14.549999999999999,0.6592069234769053,common,65.92069234769053,,peak_abundance_with_occupancy_days_modifiers,0.1455
norcar,US-TN,1.3039176818524396,2.6837,2.6837,resident,0.9964,0.0256,0.0369,365.0,99.64,0.5437759090832824,common,54.377590908328244,,peak_abundance_with_occupancy_days_modifiers,0.9964
blujay,US-TN,1.2948915376465466,1.69935,2.6506,postbreeding_migration,0.9996,0.0194,0.0261,112.0,99.96000000000001,0.5400117145797588,common,54.001171457975886,,peak_abundance_with_occupancy_days_modifiers,0.9996
whtspa,US-TN,1.232122847742282,1.3662333333333334,2.4285,nonbreeding,0.9705,0.0406,0.067,98.0,97.05,0.5138351377224164,common,51.38351377224164,,peak_abundance_with_occupancy_days_modifiers,0.9705
purmar,US-TN,1.1961926170069737,0.9187333333333333,2.3075,postbreeding_migration,0.8216,0.0361,0.0447,98.0,82.16,0.4988510676744458,common,49.88510676744458,,peak_abundance_with_occupancy_days_modifiers,0.8216
gwfgoo,US-TN,1.1729773706234163,0.7838999999999999,2.2316,nonbreeding,0.0564,0.0033,0.0023,42.0,5.64,0.4891695579576078,common,48.91695579576078,,peak_abundance_with_occupancy_days_modifiers,0.0564
indbun,US-TN,1.1404897260125821,1.2589666666666666,2.1283,breeding,0.992,0.0265,0.0665,105.0,99.2,0.47562115783381054,common,47.56211578338105,,peak_abundance_with_occupancy_days_modifiers,0.992
ribgul,US-TN,1.0777631139321486,0.7395749999999999,1.9381,nonbreeding,0.0599,0.0142,0.0357,105.0,5.99,0.4494621287919664,common,44.946212879196636,,peak_abundance_with_occupancy_days_modifiers,0.0599
bnhcow,US-TN,1.0685997168220422,1.325375,1.9113,nonbreeding,0.4593,0.0213,0.0221,147.0,45.93,0.4456406953815686,common,44.56406953815686,,peak_abundance_with_occupancy_days_modifiers,0.4593
daejun,US-TN,1.0549390108781393,0.7261,1.8718,nonbreeding,0.9084,0.0157,0.0113,105.0,90.84,0.4399437385132394,common,43.99437385132394,,peak_abundance_with_occupancy_days_modifiers,0.9084
sonspa,US-TN,1.048230859107185,0.87785,1.8526,nonbreeding,0.9929,0.0205,0.049,119.0,99.29,0.43714622193816144,common,43.71462219381614,,peak_abundance_with_occupancy_days_modifiers,0.9929
tuftit,US-TN,1.0193165241852613,1.7713,1.7713,resident,0.9954,0.0452,0.0688,365.0,99.53999999999999,0.42508800769923005,common,42.508800769923006,,peak_abundance_with_occupancy_days_modifiers,0.9954
turvul,US-TN,1.0112735853858008,1.3544,1.7491,postbreeding_migration,0.9963,0.0053,0.0096,126.0,99.63,0.4217338416976123,common,42.17338416976123,,peak_abundance_with_occupancy_days_modifiers,0.9963
amegfi,US-TN,0.9983867147500597,1.4930750000000002,1.7139,nonbreeding,0.9973,0.0184,0.0348,112.0,99.72999999999999,0.4163595992184142,common,41.63595992184142,,peak_abundance_with_occupancy_days_modifiers,0.9973
moudov,US-TN,0.9864509217797796,1.4028749999999999,1.6817,breeding,0.971,0.0168,0.0181,119.0,97.1,0.41138198693247363,common,41.13819869324736,,peak_abundance_with_occupancy_days_modifiers,0.971
carchi,US-TN,0.9813291280533772,1.668,1.668,resident,0.9938,0.0537,0.0691,365.0,99.38,0.40924603304637036,common,40.92460330463704,,peak_abundance_with_occupancy_days_modifiers,0.9938
carwre,US-TN,0.9689970275050893,1.6353,1.6353,resident,0.9987,0.0414,0.0586,365.0,99.87,0.4041031476634336,common,40.41031476634336,,peak_abundance_with_occupancy_days_modifiers,0.9987
easblu,US-TN,0.9151701042054521,1.16585,1.4972,nonbreeding,0.9806,0.0296,0.0632,105.0,98.06,0.3816555771167764,common,38.165557711677636,,peak_abundance_with_occupancy_days_modifiers,0.9806
cedwax,US-TN,0.7281764294793401,0.574375,1.0713,postbreeding_migration,0.9322,0.0228,0.02,126.0,93.22,0.3036731577645383,common,30.36731577645383,,peak_abundance_with_occupancy_days_modifiers,0.9322
barswa,US-TN,0.7280315824134471,0.6113333333333334,1.071,breeding,0.8742,0.0018,0.0017,126.0,87.42,0.3036127518462581,common,30.361275184625807,,peak_abundance_with_occupancy_days_modifiers,0.8742
fiespa,US-TN,0.7057672119160476,0.78685,1.0254,nonbreeding,0.9445,0.0416,0.1295,119.0,94.45,0.2943277881741722,common,29.432778817417223,,peak_abundance_with_occupancy_days_modifiers,0.9445
norpin,US-TN,0.6805683983530851,0.36485,0.975,nonbreeding,0.0314,0.0009,0.006,119.0,3.1399999999999997,0.2838190666929562,rare,28.38190666929562,rare,peak_abundance_with_occupancy_days_modifiers,0.0314
cangoo,US-TN,0.6801632530016505,0.775575,0.9742,nonbreeding,0.3218,0.0158,0.0029,119.0,32.18,0.28365010795817297,fairly_common,28.365010795817298,,peak_abundance_with_occupancy_days_modifiers,0.3218
rebwoo,US-TN,0.6697761942367051,0.9538,0.9538,resident,0.9907,0.0341,0.0425,365.0,99.07000000000001,0.2793183680015636,common,27.93183680015636,,peak_abundance_with_occupancy_days_modifiers,0.9907
sancra,US-TN,0.6672651108458414,0.45186666666666664,0.9489,nonbreeding,0.1099,0.0138,0.0084,56.0,10.99,0.27827116489000603,fairly_common,27.827116489000602,,peak_abundance_with_occupancy_days_modifiers,0.1099
killde,US-TN,0.6501352899666543,0.56125,0.9158,nonbreeding,0.3737,0.0186,0.0372,161.0,37.37,0.2711274747240896,fairly_common,27.11274747240896,,peak_abundance_with_occupancy_days_modifiers,0.3737
eastow,US-TN,0.6072624414027757,0.659475,0.8354,prebreeding_migration,0.999,0.0566,0.0884,105.0,99.9,0.2532481081603257,fairly_common,25.324810816032574,,peak_abundance_with_occupancy_days_modifiers,0.999
cliswa,US-TN,0.6011415347639211,0.3717333333333334,0.8242,breeding,0.4247,0.0084,0.0085,98.0,42.47,0.2506954918270397,fairly_common,25.06954918270397,,peak_abundance_with_occupancy_days_modifiers,0.4247
gadwal,US-TN,0.6004834956965259,0.37284999999999996,0.823,nonbreeding,0.0532,0.0014,0.008,126.0,5.319999999999999,0.2504210682211133,fairly_common,25.042106822111332,,peak_abundance_with_occupancy_days_modifiers,0.0532
yerwar,US-TN,0.5979569935561964,0.4959,0.8184,nonbreeding,0.9457,0.0213,0.0149,98.0,94.57,0.24936743499159322,fairly_common,24.936743499159324,,peak_abundance_with_occupancy_days_modifiers,0.9457
swaspa,US-TN,0.5786898585821206,0.5380999999999999,0.7837,nonbreeding,0.8472,0.0391,0.0896,98.0,84.72,0.24133241561746066,fairly_common,24.133241561746065,,peak_abundance_with_occupancy_days_modifiers,0.8472
reevir1,US-TN,0.5488148096700253,0.4796666666666667,0.7312,breeding,0.8185,0.0132,0.0394,91.0,81.85,0.2288735525257332,fairly_common,22.887355252573318,,peak_abundance_with_occupancy_days_modifiers,0.8185
buggna,US-TN,0.5133025536408832,0.4114,0.6708,prebreeding_migration,0.9819,0.0216,0.0399,105.0,98.19,0.21406379146902993,fairly_common,21.406379146902992,,peak_abundance_with_occupancy_days_modifiers,0.9819
blkvul,US-TN,0.4982873470678853,0.6459,0.6459,resident,0.7569,0.0048,0.0038,365.0,75.69,0.20780196396416362,common,20.78019639641636,,peak_abundance_with_occupancy_days_modifiers,0.7569
chiswi,US-TN,0.49494011453576714,0.5103,0.6404,postbreeding_migration,0.9268,0.051,0.0601,119.0,92.67999999999999,0.20640605957664135,fairly_common,20.640605957664135,,peak_abundance_with_occupancy_days_modifiers,0.9268
whevir,US-TN,0.4880277150899866,0.45753333333333335,0.6291,breeding,0.9149,0.0458,0.0475,84.0,91.49000000000001,0.20352336510528785,fairly_common,20.352336510528783,,peak_abundance_with_occupancy_days_modifiers,0.9149
norfli,US-TN,0.4816233579577778,0.38207500000000005,0.6187,nonbreeding,0.9734,0.0144,0.0255,112.0,97.34,0.20085254073490785,fairly_common,20.085254073490784,,peak_abundance_with_occupancy_days_modifiers,0.9734
comyel,US-TN,0.4701911116698075,0.26694999999999997,0.6003,breeding,0.9196,0.0131,0.0227,133.0,91.96,0.1960849237260846,fairly_common,19.60849237260846,,peak_abundance_with_occupancy_days_modifiers,0.9196
yebcha,US-TN,0.4632936677206369,0.196025,0.5893,breeding,0.8945,0.0259,0.0489,77.0,89.45,0.19320846618124737,fairly_common,19.320846618124737,,peak_abundance_with_occupancy_days_modifiers,0.8945
dowwoo,US-TN,0.439479986695442,0.5519,0.5519,resident,0.9945,0.0207,0.0345,365.0,99.45,0.1832773898346961,common,18.32773898346961,,peak_abundance_with_occupancy_days_modifiers,0.9945
chispa,US-TN,0.43450597689257836,0.498675,0.5442,prebreeding_migration,0.9507,0.0273,0.0109,147.0,95.07,0.18120306663164026,fairly_common,18.120306663164026,,peak_abundance_with_occupancy_days_modifiers,0.9507
normoc,US-TN,0.4259864313289124,0.4331,0.5311,breeding,0.7346,0.0215,0.0217,112.0,73.46000000000001,0.17765014017137679,fairly_common,17.765014017137677,,peak_abundance_with_occupancy_days_modifiers,0.7346
gockin,US-TN,0.41402833876865225,0.21695,0.5129,nonbreeding,0.9846,0.0186,0.0257,98.0,98.46000000000001,0.17266322823409905,fairly_common,17.266322823409904,,peak_abundance_with_occupancy_days_modifiers,0.9846
easmea,US-TN,0.4073300347176768,0.3677,0.5028,nonbreeding,0.5223,0.0169,0.0283,119.0,52.23,0.16986981847723404,fairly_common,16.986981847723403,,peak_abundance_with_occupancy_days_modifiers,0.5223
eawpew,US-TN,0.3949432806485822,0.3484,0.4843,breeding,0.9645,0.0269,0.0397,98.0,96.45,0.16470414080581547,fairly_common,16.47041408058155,,peak_abundance_with_occupancy_days_modifiers,0.9645
rthhum,US-TN,0.37740851032563905,0.2713333333333333,0.4585,postbreeding_migration,0.988,0.0282,0.0516,98.0,98.8,0.15739157360496359,fairly_common,15.739157360496359,,peak_abundance_with_occupancy_days_modifiers,0.988
easpho,US-TN,0.3708736633385453,0.370775,0.449,postbreeding_migration,0.9974,0.0444,0.046,119.0,99.74,0.1546663307383444,fairly_common,15.46663307383444,,peak_abundance_with_occupancy_days_modifiers,0.9974
pecsan,US-TN,0.35879269990973367,0.15893333333333334,0.4316,prebreeding_migration,0.0397,0.001,0.0218,133.0,3.9699999999999998,0.1496281776689182,rare,14.96281776689182,rare,peak_abundance_with_occupancy_days_modifiers,0.0397
rusbla,US-TN,0.3360435733296593,0.20879999999999999,0.3994,nonbreeding,0.2541,0.0256,0.0811,77.0,25.41,0.1401410550084169,fairly_common,14.014105500841689,,peak_abundance_with_occupancy_days_modifiers,0.2541
whbnut,US-TN,0.33382588096601196,0.3963,0.3963,resident,0.814,0.0278,0.0322,365.0,81.39999999999999,0.13921620545856178,common,13.921620545856179,,peak_abundance_with_occupancy_days_modifiers,0.814
easkin,US-TN,0.3230974776727355,0.2466,0.3814,breeding,0.8804,0.016,0.0141,63.0,88.03999999999999,0.1347421137770029,fairly_common,13.474211377700291,,peak_abundance_with_occupancy_days_modifiers,0.8804
acafly,US-TN,0.3207782999409705,0.17653333333333332,0.3782,breeding,0.7375,0.051,0.0725,70.0,73.75,0.1337749415413871,fairly_common,13.377494154138711,,peak_abundance_with_occupancy_days_modifiers,0.7375
brnthr,US-TN,0.32041544206841627,0.269325,0.3777,prebreeding_migration,0.9564,0.0523,0.0871,112.0,95.64,0.1336236180550487,fairly_common,13.362361805504868,,peak_abundance_with_occupancy_days_modifiers,0.9564
yebcuc,US-TN,0.31954404560052496,0.1948,0.3765,breeding,0.9207,0.0227,0.033,77.0,92.07,0.13326021750216535,fairly_common,13.326021750216535,,peak_abundance_with_occupancy_days_modifiers,0.9207
pinsis,US-TN,0.305423753927938,0.10265,0.3572,nonbreeding,0.5408,0.0118,0.0055,119.0,54.08,0.1273715984983385,fairly_common,12.737159849833851,,peak_abundance_with_occupancy_days_modifiers,0.5408
treswa,US-TN,0.2998082522496215,0.26213333333333333,0.3496,postbreeding_migration,0.4091,0.0067,0.0052,154.0,40.910000000000004,0.12502975240438335,fairly_common,12.502975240438335,,peak_abundance_with_occupancy_days_modifiers,0.4091
bongul,US-TN,0.29631966084736644,0.1837333333333333,0.3449,nonbreeding,0.0303,0.0218,0.0943,91.0,3.0300000000000002,0.12357489678919882,rare,12.357489678919881,rare,peak_abundance_with_occupancy_days_modifiers,0.0303
blugrb1,US-TN,0.29587343147807,0.18096666666666664,0.3443,breeding,0.8162,0.0178,0.0192,84.0,81.62,0.1233888046881974,fairly_common,12.33888046881974,,peak_abundance_with_occupancy_days_modifiers,0.8162
comnig,US-TN,0.29557583457088143,0.12773333333333334,0.3439,postbreeding_migration,0.8662,0.0084,0.0124,98.0,86.61999999999999,0.12326469713831213,fairly_common,12.326469713831214,,peak_abundance_with_occupancy_days_modifiers,0.8662
sumtan,US-TN,0.2953525787560006,0.2507333333333333,0.3436,breeding,0.8013,0.0379,0.0488,77.0,80.13,0.12317159223193296,fairly_common,12.317159223193295,,peak_abundance_with_occupancy_days_modifiers,0.8013
savspa,US-TN,0.2947569861237428,0.154,0.3428,nonbreeding,0.3922,0.0151,0.0122,112.0,39.22,0.12292321081218784,fairly_common,12.292321081218784,,peak_abundance_with_occupancy_days_modifiers,0.3922
norpar,US-TN,0.2922964100025264,0.2603666666666667,0.3395,breeding,0.7873,0.0317,0.0394,98.0,78.73,0.1218970708680756,fairly_common,12.189707086807559,,peak_abundance_with_occupancy_days_modifiers,0.7873
orcori,US-TN,0.2905778755638065,0.20413333333333336,0.3372,breeding,0.8207,0.0224,0.0315,91.0,82.07,0.12118038634135127,fairly_common,12.118038634135127,,peak_abundance_with_occupancy_days_modifiers,0.8207
nrwswa,US-TN,0.286831710996942,0.189425,0.3322,postbreeding_migration,0.4869,0.0158,0.0224,119.0,48.69,0.11961811437336302,fairly_common,11.961811437336301,,peak_abundance_with_occupancy_days_modifiers,0.4869
purfin,US-TN,0.2844267797311083,0.1694,0.329,nonbreeding,0.7235,0.0338,0.0463,119.0,72.35000000000001,0.11861518013636141,fairly_common,11.861518013636141,,peak_abundance_with_occupancy_days_modifiers,0.7235
lesyel,US-TN,0.2780104527550499,0.081525,0.3205,prebreeding_migration,0.0415,0.0007,0.0129,133.0,4.15,0.11593936395337588,rare,11.593936395337588,rare,peak_abundance_with_occupancy_days_modifiers,0.0415
norsho,US-TN,0.27694968587273705,0.15025,0.3191,prebreeding_migration,0.0541,0.001,0.0015,126.0,5.41,0.11549698980370132,fairly_common,11.549698980370133,,peak_abundance_with_occupancy_days_modifiers,0.0541
pilwoo,US-TN,0.26903427807929786,0.3087,0.3087,resident,0.8575,0.0198,0.0328,365.0,85.75,0.11219600836250526,common,11.219600836250526,,peak_abundance_with_occupancy_days_modifiers,0.8575
wiltur,US-TN,0.2645157944199414,0.3028,0.3028,resident,0.798,0.0249,0.0263,365.0,79.80000000000001,0.11031165431643244,common,11.031165431643245,,peak_abundance_with_occupancy_days_modifiers,0.798
woothr,US-TN,0.24216155714997162,0.16523333333333334,0.274,breeding,0.8187,0.0421,0.0684,91.0,81.87,0.10098921328927195,fairly_common,10.098921328927196,,peak_abundance_with_occupancy_days_modifiers,0.8187
prawar,US-TN,0.23807157189844647,0.1704,0.2688,breeding,0.621,0.068,0.1056,112.0,62.1,0.09928355695893851,fairly_common,9.92835569589385,,peak_abundance_with_occupancy_days_modifiers,0.621
ruckin,US-TN,0.22960264637494815,0.22563333333333332,0.2581,nonbreeding,0.9308,0.0219,0.0116,98.0,93.08,0.09575174069508019,fairly_common,9.57517406950802,,peak_abundance_with_occupancy_days_modifiers,0.9308
gnwtea,US-TN,0.22888702594127547,0.16626666666666665,0.2572,prebreeding_migration,0.0523,0.0004,0.0007,112.0,5.2299999999999995,0.09545330379427365,fairly_common,9.545330379427366,,peak_abundance_with_occupancy_days_modifiers,0.0523
rethaw,US-TN,0.22721525068426343,0.162375,0.2551,nonbreeding,0.9675,0.0122,0.0128,112.0,96.75,0.09475611936091803,fairly_common,9.475611936091804,,peak_abundance_with_occupancy_days_modifiers,0.9675
herthr,US-TN,0.22450262735184073,0.09799999999999999,0.2517,nonbreeding,0.9042,0.0283,0.0461,105.0,90.42,0.09362486756556457,fairly_common,9.362486756556457,,peak_abundance_with_occupancy_days_modifiers,0.9042
magwar,US-TN,0.22418301088887221,0.0976,0.2513,postbreeding_migration,0.9996,0.0185,0.0429,91.0,99.96000000000001,0.09349157714767424,fairly_common,9.349157714767424,,peak_abundance_with_occupancy_days_modifiers,0.9996
grcfly,US-TN,0.2233035385155749,0.15713333333333332,0.2502,breeding,0.9484,0.0248,0.0244,70.0,94.84,0.09312480868064649,fairly_common,9.312480868064648,,peak_abundance_with_occupancy_days_modifiers,0.9484
y00475,US-TN,0.21841237693830828,0.15705,0.2441,postbreeding_migration,0.0142,0.0028,0.0032,112.0,1.4200000000000002,0.09108503587123659,rare,9.108503587123659,rare,peak_abundance_with_occupancy_days_modifiers,0.0142
doccor,US-TN,0.2128507618287775,0.1724,0.2372,prebreeding_migration,0.087,0.0067,0.009,147.0,8.7,0.08876566222192779,fairly_common,8.876566222192778,,peak_abundance_with_occupancy_days_modifiers,0.087
amwpel,US-TN,0.2109090136458672,0.112825,0.2348,postbreeding_migration,0.0217,0.0065,0.0139,119.0,2.17,0.08795589033366495,rare,8.795589033366495,rare,peak_abundance_with_occupancy_days_modifiers,0.0217
hoowar,US-TN,0.20310409597648313,0.1777,0.2252,breeding,0.3999,0.0468,0.0573,91.0,39.989999999999995,0.08470098685313243,fairly_common,8.470098685313243,,peak_abundance_with_occupancy_days_modifiers,0.3999
wooduc,US-TN,0.2028592080115027,0.154975,0.2249,prebreeding_migration,0.6823,0.0233,0.0271,133.0,68.23,0.08459886063946556,fairly_common,8.459886063946556,,peak_abundance_with_occupancy_days_modifiers,0.6823
yetwar,US-TN,0.20032518123352952,0.11963333333333333,0.2218,breeding,0.6669,0.063,0.0909,119.0,66.69,0.08354208939231436,fairly_common,8.354208939231436,,peak_abundance_with_occupancy_days_modifiers,0.6669
greegr,US-TN,0.195155514774041,0.08904999999999999,0.2155,breeding,0.1319,0.0004,0.0016,133.0,13.19,0.08138617102584815,fairly_common,8.138617102584815,,peak_abundance_with_occupancy_days_modifiers,0.1319
horlar,US-TN,0.1922718876471227,0.088475,0.212,nonbreeding,0.0654,,,,6.54,0.08018360510913358,fairly_common,8.018360510913357,,peak_abundance_with_occupancy_days_modifiers,0.0654
reshaw,US-TN,0.1857323999160363,0.17052499999999998,0.2041,prebreeding_migration,0.8991,0.0392,0.0403,126.0,89.91,0.07745642690194907,fairly_common,7.745642690194907,,peak_abundance_with_occupancy_days_modifiers,0.8991
lessca,US-TN,0.17730901497041035,0.100275,0.194,nonbreeding,0.0119,0.005,0.0171,119.0,1.1900000000000002,0.07394360253418769,rare,7.394360253418769,rare,peak_abundance_with_occupancy_days_modifiers,0.0119
grbher3,US-TN,0.17571645774181885,0.13685,0.1921,breeding,0.5952,0.0122,0.02,175.0,59.519999999999996,0.07327945458466821,uncommon,7.327945458466821,,peak_abundance_with_occupancy_days_modifiers,0.5952
tenwar,US-TN,0.16839165126045666,0.1395,0.1834,postbreeding_migration,0.9998,0.0132,0.0132,98.0,99.98,0.07022477302102594,uncommon,7.022477302102594,,peak_abundance_with_occupancy_days_modifiers,0.9998
yebsap,US-TN,0.16644620763566448,0.073725,0.1811,nonbreeding,0.9687,0.0328,0.0488,112.0,96.87,0.06941346001379782,uncommon,6.941346001379782,,peak_abundance_with_occupancy_days_modifiers,0.9687
rinduc,US-TN,0.15768727583559375,0.091525,0.1708,nonbreeding,0.0279,0.0038,0.0173,98.0,2.79,0.06576070173889245,rare,6.576070173889245,rare,peak_abundance_with_occupancy_days_modifiers,0.0279
kenwar,US-TN,0.15392208227225665,0.09943333333333333,0.1664,breeding,0.6662,0.0715,0.0966,84.0,66.62,0.06419049406299873,uncommon,6.419049406299873,,peak_abundance_with_occupancy_days_modifiers,0.6662
scatan,US-TN,0.15263524642359425,0.10803333333333333,0.1649,breeding,0.5208,0.0306,0.0521,77.0,52.080000000000005,0.06365384183166067,uncommon,6.365384183166068,,peak_abundance_with_occupancy_days_modifiers,0.5208
winwre3,US-TN,0.15194825627205824,0.060675,0.1641,nonbreeding,0.9211,0.0431,0.0837,105.0,92.11,0.06336734468588065,uncommon,6.336734468588065,,peak_abundance_with_occupancy_days_modifiers,0.9211
grycat,US-TN,0.1499705265762951,0.065425,0.1618,postbreeding_migration,0.9982,0.0173,0.0105,126.0,99.82,0.0625425673412658,uncommon,6.25425673412658,,peak_abundance_with_occupancy_days_modifiers,0.9982
foxspa,US-TN,0.1466943791508035,0.0867,0.158,nonbreeding,0.8375,0.0407,0.05,70.0,83.75,0.06117630774575466,uncommon,6.117630774575466,,peak_abundance_with_occupancy_days_modifiers,0.8375
