species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eardov1,AR-CUYO,2.32625279029423,4.155866666666666,9.2395,resident,0.9947,0.0164,0.0246,365.0,99.47,0.9701227641937283,abundant,97.01227641937284,,peak_abundance_with_occupancy_days_modifiers,0.9947
monpar,AR-CUYO,1.9364656902273136,2.5722666666666663,5.9342,resident,0.9498,0.0304,0.0289,365.0,94.98,0.8075689177065003,abundant,80.75689177065003,,peak_abundance_with_occupancy_days_modifiers,0.9498
gryfin1,AR-CUYO,1.9188178738619996,2.3401,5.8129,nonbreeding,0.8709,0.0193,0.058,161.0,87.09,0.8002092066442574,abundant,80.02092066442574,,peak_abundance_with_occupancy_days_modifiers,0.8709
burpar,AR-CUYO,1.8151485553154987,3.8858668501473126,5.141988534720064,resident,0.902998201172132,0.1146573926496734,0.1149960301759536,365.0,90.2998201172132,0.7569757428134882,abundant,75.69757428134882,,peak_abundance_with_occupancy_days_modifiers,0.902998201172132
spwpig3,AR-CUYO,1.695046639503438,2.355366666666667,4.4469,resident,0.9875,0.0459,0.0902,365.0,98.75,0.7068893536477511,common,70.6889353647751,,peak_abundance_with_occupancy_days_modifiers,0.9875
rucspa1,AR-CUYO,1.6828370620038682,3.5000999999999998,4.3808,resident,1.0,0.0204,0.0323,365.0,100.0,0.7017975643448258,common,70.17975643448257,,peak_abundance_with_occupancy_days_modifiers,1.0
pigdov1,AR-CUYO,1.6101376675483736,2.1632333333333333,4.0035,resident,0.9834,0.016,0.0244,365.0,98.34,0.6714795620199563,common,67.14795620199563,,peak_abundance_with_occupancy_days_modifiers,0.9834
shicow,AR-CUYO,1.5615913029768809,1.7052333333333334,3.7664,resident,0.982,0.011,0.0354,365.0,98.2,0.6512341555077533,common,65.12341555077533,,peak_abundance_with_occupancy_days_modifiers,0.982
soulap1,AR-CUYO,1.4604737592941421,1.801025,3.308,prebreeding_migration,0.9992,0.0105,0.0179,175.0,99.92,0.6090648644507951,common,60.90648644507951,,peak_abundance_with_occupancy_days_modifiers,0.9992
whfibi,AR-CUYO,1.4513327572991128,1.3428416666666667,3.2688,prebreeding_migration,0.5487,0.0257,0.0152,119.0,54.87,0.6052527705287943,common,60.52527705287943,,peak_abundance_with_occupancy_days_modifiers,0.5487
uplgoo1,AR-CUYO,1.228616635238696,0.6136142857142858,2.4165,nonbreeding,0.4183,0.0606,0.0323,140.0,41.83,0.5123729335372043,common,51.237293353720425,,peak_abundance_with_occupancy_days_modifiers,0.4183
chicar1,AR-CUYO,1.2249512107111278,1.7469999999999999,2.404,resident,1.0,0.0363,0.0531,365.0,100.0,0.5108443327808874,common,51.08443327808874,,peak_abundance_with_occupancy_days_modifiers,1.0
bawcow4,AR-CUYO,1.1777930865425508,1.0054333333333332,2.2472,resident,0.956,0.026,0.0369,365.0,95.6,0.4911778674837843,common,49.11778674837843,,peak_abundance_with_occupancy_days_modifiers,0.956
chifla1,AR-CUYO,1.1688221970429127,0.7344333333333334,2.2182,prebreeding_migration,0.696,0.0753,0.0332,133.0,69.6,0.4874367159825475,common,48.74367159825475,,peak_abundance_with_occupancy_days_modifiers,0.696
codfin1,AR-CUYO,1.1204390098942167,1.3480666666666667,2.0662,nonbreeding,0.9893,0.077,0.1088,70.0,98.92999999999999,0.4672593597412,common,46.72593597412,,peak_abundance_with_occupancy_days_modifiers,0.9893
rufhor2,AR-CUYO,0.8689055802122244,0.6475333333333334,1.3843,resident,0.9718,0.0123,0.0169,365.0,97.18,0.3623617720377762,common,36.23617720377762,,peak_abundance_with_occupancy_days_modifiers,0.9718
docsee1,AR-CUYO,0.8676045622970979,0.3878,1.3812,breeding,0.9789,0.014,0.031,126.0,97.89,0.3618192054253452,common,36.18192054253452,,peak_abundance_with_occupancy_days_modifiers,0.9789
houwre,AR-CUYO,0.8335176334072211,0.6973333333333334,1.3014,prebreeding_migration,1.0,0.0076,0.0145,126.0,100.0,0.3476038519540917,common,34.76038519540917,,peak_abundance_with_occupancy_days_modifiers,1.0
saffin,AR-CUYO,0.8045543781340764,0.5432666666666667,1.2357,resident,0.9603,0.0097,0.0125,365.0,96.03,0.3355252363441012,common,33.55252363441012,,peak_abundance_with_occupancy_days_modifiers,0.9603
lotmea1,AR-CUYO,0.7805168266968524,0.6928333333333333,1.1826,resident,0.9077,0.0846,0.0604,365.0,90.77,0.3255007987842523,common,32.55007987842523,,peak_abundance_with_occupancy_days_modifiers,0.9077
y00678,AR-CUYO,0.778361109774426,0.5696333333333333,1.1779,resident,0.9979,0.0101,0.0141,365.0,99.79,0.3246017950008592,common,32.460179500085914,,peak_abundance_with_occupancy_days_modifiers,0.9979
yebtea1,AR-CUYO,0.7315502518428904,0.59055,1.0783,nonbreeding,0.3432,0.0396,0.0421,217.0,34.32,0.30508015097305025,common,30.508015097305023,,peak_abundance_with_occupancy_days_modifiers,0.3432
fotfly,AR-CUYO,0.712214243277171,0.3663444444444444,1.0385,breeding,0.9702,0.0137,0.0184,77.0,97.02,0.29701640908028853,common,29.701640908028853,,peak_abundance_with_occupancy_days_modifiers,0.9702
mosfin1,AR-CUYO,0.7043015941665549,0.5869324155966484,1.022433712063277,resident,0.7767943976399019,0.0680523836346312,0.0371522144416008,365.0,77.67943976399019,0.29371657809918744,common,29.371657809918744,,peak_abundance_with_occupancy_days_modifiers,0.7767943976399019
soumar,AR-CUYO,0.6991789527916642,0.3597555555555555,1.0121,breeding,0.7863,0.0638,0.1204,112.0,78.63,0.29158027071620796,common,29.158027071620797,,peak_abundance_with_occupancy_days_modifiers,0.7863
gryfin2,AR-CUYO,0.681200056305231,0.4838780877197446,0.976247918542831,breeding,0.5153832135577077,0.1289504050877095,0.2540559595704599,126.0,51.53832135577077,0.2840824885193017,fairly_common,28.408248851930168,,peak_abundance_with_occupancy_days_modifiers,0.5153832135577077
bwgdov1,AR-CUYO,0.6703887103520512,0.38933921221728096,0.9549971005704316,breeding,0.5246748094014126,0.0663345322074168,0.1424813186003566,112.0,52.467480940141265,0.27957380706193224,fairly_common,27.957380706193224,,peak_abundance_with_occupancy_days_modifiers,0.5246748094014126
picpig2,AR-CUYO,0.6498742683264784,0.4099333333333333,0.9153,resident,0.9421,0.0093,0.0042,365.0,94.21000000000001,0.2710186202452736,common,27.101862024527364,,peak_abundance_with_occupancy_days_modifiers,0.9421
brcmar1,AR-CUYO,0.6265264932180495,0.3317777777777778,0.8711,breeding,0.9293,0.0071,0.0132,91.0,92.93,0.26128184175737007,fairly_common,26.128184175737008,,peak_abundance_with_occupancy_days_modifiers,0.9293
bknsti,AR-CUYO,0.619662091297468,0.5133416666666667,0.8583,postbreeding_migration,0.5826,0.0176,0.0166,140.0,58.26,0.2584191638087327,fairly_common,25.84191638087327,,peak_abundance_with_occupancy_days_modifiers,0.5826
gobsal1,AR-CUYO,0.6149153322903717,0.45183333333333336,0.8495,resident,0.8322,0.0362,0.0521,365.0,83.22,0.2564396115484887,common,25.64396115484887,,peak_abundance_with_occupancy_days_modifiers,0.8322
croslf1,AR-CUYO,0.5947622786385443,0.2414888888888889,0.8126,nonbreeding,0.979,0.015,0.0601,91.0,97.89999999999999,0.24803513538956604,fairly_common,24.803513538956604,,peak_abundance_with_occupancy_days_modifiers,0.979
guicuc1,AR-CUYO,0.5638354440796057,0.30456666666666665,0.7574,resident,0.8786,0.0098,0.0103,365.0,87.86,0.2351376436142699,common,23.51376436142699,,peak_abundance_with_occupancy_days_modifiers,0.8786
gryfin3,AR-CUYO,0.5567759700806042,0.5100803984090683,0.7450373685738547,nonbreeding,0.4773130369591835,0.0651307161252486,0.0279661414552648,133.0,47.73130369591835,0.23219361429026894,fairly_common,23.219361429026893,,peak_abundance_with_occupancy_days_modifiers,0.4773130369591835
scrcow1,AR-CUYO,0.5467910441985994,0.3162,0.7277,resident,0.9185,0.024,0.0433,365.0,91.85,0.22802957677150262,common,22.802957677150264,,peak_abundance_with_occupancy_days_modifiers,0.9185
categr1,AR-CUYO,0.540520977999005,0.12551018312678883,0.7169010969242849,nonbreeding,0.2305667963021739,0.0018284485446683,0.0016026573784065,98.0,23.05667963021739,0.2254147560698975,fairly_common,22.54147560698975,,peak_abundance_with_occupancy_days_modifiers,0.2305667963021739
grekis,AR-CUYO,0.5280956349309447,0.3336333333333334,0.6957,resident,0.7692,0.0047,0.0049,365.0,76.92,0.2202329855359576,common,22.02329855359576,,peak_abundance_with_occupancy_days_modifiers,0.7692
bawswa1,AR-CUYO,0.5150964906166366,0.2279333333333334,0.6738,breeding,0.9174,0.0278,0.0316,133.0,91.74,0.21481192129609278,fairly_common,21.481192129609276,,peak_abundance_with_occupancy_days_modifiers,0.9174
brncac1,AR-CUYO,0.505250109432805,0.3304333333333333,0.6574,resident,0.948,0.0612,0.0944,365.0,94.8,0.2107056614041248,common,21.07056614041248,,peak_abundance_with_occupancy_days_modifiers,0.948
whcpin,AR-CUYO,0.47666886711449646,0.19676666666666665,0.6107,breeding,0.6433,0.0383,0.0386,105.0,64.33,0.1987863575702447,fairly_common,19.878635757024472,,peak_abundance_with_occupancy_days_modifiers,0.6433
grpfin1,AR-CUYO,0.44941819563662716,0.2648,0.5674,resident,0.745,0.0282,0.0374,365.0,74.5,0.18742194487591243,common,18.74219448759124,,peak_abundance_with_occupancy_days_modifiers,0.745
patmoc1,AR-CUYO,0.4446217166426859,0.24430000000000004,0.5599,nonbreeding,0.8255,0.1091,0.109,42.0,82.55,0.1854216577706529,fairly_common,18.54216577706529,,peak_abundance_with_occupancy_days_modifiers,0.8255
gyhsif1,AR-CUYO,0.43928665658367505,0.28973333333333334,0.5516,breeding,0.6057,0.0541,0.0856,224.0,60.57,0.18319676491585166,common,18.319676491585167,,peak_abundance_with_occupancy_days_modifiers,0.6057
rubmin1,AR-CUYO,0.43738731612042375,0.3252631235704568,0.5486557802601661,resident,0.6064617732357663,0.0778973407224632,0.1457758347976128,365.0,60.64617732357663,0.18240467842033312,common,18.24046784203331,,peak_abundance_with_occupancy_days_modifiers,0.6064617732357663
turvul,AR-CUYO,0.43418213220565854,0.3369583333333333,0.5437,nonbreeding,0.8899,0.0059,0.0053,126.0,88.99000000000001,0.181068012907404,fairly_common,18.1068012907404,,peak_abundance_with_occupancy_days_modifiers,0.8899
cliswa,AR-CUYO,0.4278135117719262,0.08366666666666667,0.5339,prebreeding_migration,0.4712,0.0078,0.0091,70.0,47.12,0.17841209189785134,fairly_common,17.841209189785133,,peak_abundance_with_occupancy_days_modifiers,0.4712
whimon1,AR-CUYO,0.4223222251745873,0.23953333333333335,0.5255,resident,0.9638,0.0246,0.0623,365.0,96.38,0.1761220475161672,common,17.61220475161672,,peak_abundance_with_occupancy_days_modifiers,0.9638
blkvul,AR-CUYO,0.4153494301821409,0.3175333333333334,0.5149,resident,0.9296,0.0056,0.0026,365.0,92.96,0.1732141661455562,common,17.32141661455562,,peak_abundance_with_occupancy_days_modifiers,0.9296
stcspi2,AR-CUYO,0.4151513776975852,0.24626666666666663,0.5146,resident,0.9351,0.0422,0.0799,365.0,93.51,0.17313157184429445,common,17.313157184429446,,peak_abundance_with_occupancy_days_modifiers,0.9351
baytan3,AR-CUYO,0.41449091931547677,0.25780000000000003,0.5136,breeding,0.966,0.0454,0.0876,301.0,96.6,0.17285613930576754,common,17.285613930576755,,peak_abundance_with_occupancy_days_modifiers,0.966
chiwig1,AR-CUYO,0.41065163479546446,0.1822,0.5078,breeding,0.6643,0.0633,0.0825,217.0,66.43,0.17125503330102876,common,17.125503330102877,,peak_abundance_with_occupancy_days_modifiers,0.6643
hoosis1,AR-CUYO,0.41038631242723245,0.26603333333333334,0.5074,resident,0.7556,0.0248,0.0344,365.0,75.56,0.17114438527930664,common,17.114438527930666,,peak_abundance_with_occupancy_days_modifiers,0.7556
whtpla1,AR-CUYO,0.39514537570130953,0.20623333333333335,0.4846,breeding,0.9714,0.0665,0.0872,42.0,97.14,0.16478842098894936,fairly_common,16.478842098894937,,peak_abundance_with_occupancy_days_modifiers,0.9714
amekes,AR-CUYO,0.3908251313686493,0.21075,0.4782,breeding,1.0,0.0091,0.0181,105.0,100.0,0.162986739163363,fairly_common,16.298673916336302,,peak_abundance_with_occupancy_days_modifiers,1.0
chbmoc1,AR-CUYO,0.388183300873637,0.21376666666666666,0.4743,resident,0.8379,0.0113,0.0148,365.0,83.78999999999999,0.16188501027429053,common,16.18850102742905,,peak_abundance_with_occupancy_days_modifiers,0.8379
yebpin1,AR-CUYO,0.3853984459578502,0.33126666666666665,0.4702,resident,0.2904,0.0275,0.0263,365.0,29.04,0.16072363556899041,fairly_common,16.07236355689904,,peak_abundance_with_occupancy_days_modifiers,0.2904
spetyr1,AR-CUYO,0.37836794022379716,0.15340833333333334,0.4599,breeding,0.7985,0.0532,0.0546,98.0,79.85,0.1577916869497964,fairly_common,15.779168694979639,,peak_abundance_with_occupancy_days_modifiers,0.7985
lalbru1,AR-CUYO,0.37459344444107734,0.18473333333333333,0.4544,resident,0.7512,0.0562,0.0363,365.0,75.12,0.15621759994710807,common,15.621759994710807,,peak_abundance_with_occupancy_days_modifiers,0.7512
burowl,AR-CUYO,0.3674170404706345,0.167075,0.444,prebreeding_migration,0.9354,0.0099,0.0205,112.0,93.54,0.15322480703748775,fairly_common,15.322480703748775,,peak_abundance_with_occupancy_days_modifiers,0.9354
elctin1,AR-CUYO,0.3368328385651336,0.3201269031298242,0.4005049337560644,resident,0.7364368940293886,0.0975409507293889,0.0822109563721945,365.0,73.64368940293886,0.1404702041770348,common,14.047020417703479,,peak_abundance_with_occupancy_days_modifiers,0.7364368940293886
whbmoc1,AR-CUYO,0.3359006447222553,0.14828333333333332,0.3992,nonbreeding,0.9654,0.0611,0.0961,126.0,96.54,0.14008144914946824,fairly_common,14.008144914946824,,peak_abundance_with_occupancy_days_modifiers,0.9654
smbela1,AR-CUYO,0.3246887980808766,0.12406666666666667,0.3836,breeding,0.9761,0.0185,0.0343,112.0,97.61,0.13540574593233218,fairly_common,13.540574593233218,,peak_abundance_with_occupancy_days_modifiers,0.9761
verfly,AR-CUYO,0.320125060941149,0.12713333333333332,0.3773,prebreeding_migration,0.9259,0.0173,0.0177,105.0,92.58999999999999,0.13350251971911994,fairly_common,13.350251971911995,,peak_abundance_with_occupancy_days_modifiers,0.9259
pabspi1,AR-CUYO,0.31634241294499243,0.171,0.3721,resident,0.9616,0.0119,0.0337,365.0,96.16,0.13192503297936667,common,13.192503297936668,,peak_abundance_with_occupancy_days_modifiers,0.9616
trsowl,AR-CUYO,0.31452811613660814,0.14714341913125073,0.369612860236321,resident,0.985310277209224,0.0054606249438647,0.0048173367154341,365.0,98.53102772092241,0.1311684124426127,common,13.116841244261272,,peak_abundance_with_occupancy_days_modifiers,0.985310277209224
plsfin1,AR-CUYO,0.3113127813512585,0.16992757494391922,0.3652161685700561,resident,0.5020253931220985,0.042466520332694,0.0465719141629299,365.0,50.20253931220985,0.12982751368784884,common,12.982751368784884,,peak_abundance_with_occupancy_days_modifiers,0.5020253931220985
trokin,AR-CUYO,0.3094680257736381,0.14845555555555554,0.3627,prebreeding_migration,0.982,0.0061,0.0046,119.0,98.2,0.12905819085772058,fairly_common,12.905819085772057,,peak_abundance_with_occupancy_days_modifiers,0.982
whtgre3,AR-CUYO,0.29802836450592524,0.13650833333333334,0.3472,nonbreeding,0.4067,0.0452,0.0284,210.0,40.67,0.12428748156216293,fairly_common,12.428748156216294,,peak_abundance_with_occupancy_days_modifiers,0.4067
andswi1,AR-CUYO,0.295486531559369,0.20410515765191714,0.3437799910414889,resident,0.4524775828588195,0.0876410423088561,0.0651821635063726,365.0,45.24775828588195,0.1232274548898597,fairly_common,12.32274548898597,,peak_abundance_with_occupancy_days_modifiers,0.4524775828588195
whwcoo1,AR-CUYO,0.28186574526582003,0.13907344319404719,0.325600739864763,breeding,0.0668449281057939,0.0164162010725378,0.0096695121721532,105.0,6.68449281057939,0.11754714580878231,fairly_common,11.75471458087823,,peak_abundance_with_occupancy_days_modifiers,0.0668449281057939
scbwoo4,AR-CUYO,0.2767222322154389,0.14733333333333332,0.3188,resident,0.7974,0.0575,0.0785,365.0,79.74,0.1154021342610601,common,11.540213426106009,,peak_abundance_with_occupancy_days_modifiers,0.7974
barswa,AR-CUYO,0.2766464028315163,0.09656666666666668,0.3187,nonbreeding,0.5102,0.0016,0.0003,98.0,51.019999999999996,0.11537051095174262,fairly_common,11.537051095174263,,peak_abundance_with_occupancy_days_modifiers,0.5102
yersis1,AR-CUYO,0.26838310376616564,0.1787278915402949,0.3078480855789008,breeding,0.4787018329036036,0.1124600525286866,0.241233867171133,98.0,47.87018329036036,0.11192444758146568,fairly_common,11.192444758146568,,peak_abundance_with_occupancy_days_modifiers,0.4787018329036036
ybttyr1,AR-CUYO,0.2638519340720253,0.11176352254562637,0.3019354097540785,nonbreeding,0.998022735557426,0.11335772737946,0.0832925920389179,126.0,99.8022735557426,0.11003480304796928,fairly_common,11.003480304796929,,peak_abundance_with_occupancy_days_modifiers,0.998022735557426
regcoo1,AR-CUYO,0.2627488059065692,0.13803333333333334,0.3005,resident,0.083,0.026,0.0237,365.0,8.3,0.10957476287108167,fairly_common,10.957476287108166,,peak_abundance_with_occupancy_days_modifiers,0.083
nabwoo1,AR-CUYO,0.2612867610922493,0.14486666666666667,0.2986,resident,0.8103,0.0121,0.0144,365.0,81.03,0.10896504282579643,common,10.896504282579643,,peak_abundance_with_occupancy_days_modifiers,0.8103
shbcan2,AR-CUYO,0.2554390814061826,0.12258127296553058,0.291028362989865,postbreeding_migration,0.9981290750619102,0.1203078810365099,0.1059998580887544,161.0,99.81290750619102,0.10652637098203309,fairly_common,10.652637098203309,,peak_abundance_with_occupancy_days_modifiers,0.9981290750619102
gyctyr2,AR-CUYO,0.2548747494756633,0.09406666666666667,0.2903,postbreeding_migration,0.9738,0.0643,0.1104,112.0,97.38,0.10629102628749151,fairly_common,10.629102628749152,,peak_abundance_with_occupancy_days_modifiers,0.9738
masgna1,AR-CUYO,0.24849935857651795,0.11413333333333335,0.2821,resident,0.8328,0.0166,0.0144,365.0,83.28,0.10363228177455656,common,10.363228177455657,,peak_abundance_with_occupancy_days_modifiers,0.8328
masyel5,AR-CUYO,0.24695043625852467,0.11979134803089374,0.2801156638840774,breeding,0.8813985007679831,0.0181278769444148,0.0253872725945902,140.0,88.13985007679831,0.10298633099615344,fairly_common,10.298633099615344,,peak_abundance_with_occupancy_days_modifiers,0.8813985007679831
brhgul2,AR-CUYO,0.243965267006508,0.056183333333333335,0.2763,breeding,0.2322,0.0206,0.0083,133.0,23.22,0.10174141872417881,fairly_common,10.17414187241788,,peak_abundance_with_occupancy_days_modifiers,0.2322
lesyel,AR-CUYO,0.24278930356104428,0.08901666666666667,0.2748,nonbreeding,0.5083,0.0131,0.0193,126.0,50.83,0.10125100387628955,fairly_common,10.125100387628954,,peak_abundance_with_occupancy_days_modifiers,0.5083
ausneg1,AR-CUYO,0.22585985880843806,0.10336363636363637,0.2534,nonbreeding,0.5542,0.0558,0.0449,105.0,55.42,0.09419087704562557,fairly_common,9.419087704562557,,peak_abundance_with_occupancy_days_modifiers,0.5542
rebhaw2,AR-CUYO,0.22290352250960094,0.18676666666666666,0.2497,nonbreeding,0.9682,0.0557,0.0641,196.0,96.82,0.0929579890490672,common,9.29579890490672,,peak_abundance_with_occupancy_days_modifiers,0.9682
gybsee1,AR-CUYO,0.2222597909202122,0.2178594281773904,0.2488957875090049,breeding,0.4540945627259287,0.0498781115499592,0.089925893673482,112.0,45.40945627259287,0.0926895321249091,fairly_common,9.26895321249091,,peak_abundance_with_occupancy_days_modifiers,0.4540945627259287
redsho1,AR-CUYO,0.21583692279843686,0.112375,0.2409,breeding,0.3519,0.0336,0.0219,189.0,35.19,0.09001098807228251,fairly_common,9.001098807228251,,peak_abundance_with_occupancy_days_modifiers,0.3519
eursta,AR-CUYO,0.21503073120365931,0.10235000000000001,0.2399,breeding,0.1304,0.0006,0.0002,140.0,13.04,0.08967478006356634,fairly_common,8.967478006356634,,peak_abundance_with_occupancy_days_modifiers,0.1304
ultgro1,AR-CUYO,0.20196077204630308,0.08356666666666666,0.2238,resident,0.4362,0.0141,0.0445,365.0,43.62,0.08422418374035685,fairly_common,8.422418374035685,,peak_abundance_with_occupancy_days_modifiers,0.4362
snoegr,AR-CUYO,0.20122508721318713,0.05539166666666667,0.2229,nonbreeding,0.5952,0.007,0.0044,119.0,59.519999999999996,0.08391737933506799,fairly_common,8.391737933506798,,peak_abundance_with_occupancy_days_modifiers,0.5952
whfwoo1,AR-CUYO,0.19967019512856762,0.12353333333333334,0.221,resident,0.4824,0.0451,0.0557,365.0,48.24,0.08326893897061248,fairly_common,8.326893897061248,,peak_abundance_with_occupancy_days_modifiers,0.4824
bucpar,AR-CUYO,0.1969638335308247,0.07623333333333333,0.2177,resident,0.1853,0.0102,0.009,365.0,18.529999999999998,0.08214029852144697,fairly_common,8.214029852144696,,peak_abundance_with_occupancy_days_modifiers,0.1853
