species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
mallar3,KR,2.8902939770935387,6.81315,16.9986,nonbreeding,0.4898,0.0058,0.0123,126.0,48.980000000000004,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4898
bktgul,KR,2.793377382853133,9.396725,15.3361,breeding,0.162,0.1063,0.311,147.0,16.2,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.162
gwfgoo,KR,2.8512439293178664,10.884466666666668,16.3093,nonbreeding,0.1483,0.0095,0.0184,42.0,14.829999999999998,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1483
dunlin,KR,2.4672177869169163,5.9081,10.7896,prebreeding_migration,0.0543,0.0056,0.0244,70.0,5.43,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0543
tunbeg1,KR,2.9613668585590136,8.262026967894338,18.32436738880744,postbreeding_migration,0.2375582511232278,0.0222987004206867,0.0899989255997704,105.0,23.75582511232278,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2375582511232278
rensti,KR,2.202510581765457,3.070133333333333,8.0477,prebreeding_migration,0.08,0.0064,0.2397,133.0,8.0,0.9185182550508564,abundant,91.85182550508564,,peak_abundance_with_occupancy_days_modifiers,0.08
spbduc,KR,2.0101316556633737,3.663175,6.4643,nonbreeding,0.476,0.0239,0.0491,126.0,47.599999999999994,0.8382900114388763,abundant,83.82900114388762,,peak_abundance_with_occupancy_days_modifiers,0.476
grcter1,KR,1.7763581419852246,4.9083,4.9083,nonbreeding,0.0286,0.0067,0.2177,28.0,2.86,0.7407988839780291,rare,74.0798883978029,rare,peak_abundance_with_occupancy_days_modifiers,0.0286
eutspa,KR,1.773205062580248,4.8897,4.8897,resident,0.6756,0.0058,0.0126,365.0,67.56,0.7394839477334211,common,73.9483947733421,,peak_abundance_with_occupancy_days_modifiers,0.6756
kenplo1,KR,1.597567739863613,1.040975,3.941,postbreeding_migration,0.0862,0.0018,0.0721,98.0,8.62,0.6662374950175507,common,66.62374950175507,,peak_abundance_with_occupancy_days_modifiers,0.0862
vitpar1,KR,1.5465620083824294,3.6953,3.6953,resident,0.832,0.0351,0.1128,365.0,83.2,0.6449664528416097,common,64.49664528416096,,peak_abundance_with_occupancy_days_modifiers,0.832
yetbun1,KR,1.4853061150565416,1.5695008197120508,3.4163171070419676,nonbreeding,0.9370162643757736,0.065880969390207,0.1858504957725383,126.0,93.70162643757736,0.6194207611590862,common,61.94207611590862,,peak_abundance_with_occupancy_days_modifiers,0.9370162643757736
grekno,KR,1.3483328548327718,1.64945,2.851,prebreeding_migration,0.0773,,,,7.7299999999999995,0.562298474886792,common,56.2298474886792,,peak_abundance_with_occupancy_days_modifiers,0.0773
barswa,KR,1.3386522876420495,1.007,2.8139,postbreeding_migration,0.6369,0.0011,0.0019,154.0,63.690000000000005,0.5582613648009019,common,55.82613648009019,,peak_abundance_with_occupancy_days_modifiers,0.6369
brebul1,KR,1.1543623037726016,2.172,2.172,resident,0.8798,0.2059,0.2307,365.0,87.98,0.4814064721122903,common,48.14064721122903,,peak_abundance_with_occupancy_days_modifiers,0.8798
ortdov,KR,1.1518370499054076,1.79105,2.164,nonbreeding,0.8861,0.0147,0.0516,140.0,88.61,0.480353359453101,common,48.035335945310095,,peak_abundance_with_occupancy_days_modifiers,0.8861
brambl,KR,1.086337257792497,1.4800666666666666,1.9634,postbreeding_migration,0.9104,0.0069,0.0117,91.0,91.03999999999999,0.453037824510463,common,45.303782451046295,,peak_abundance_with_occupancy_days_modifiers,0.9104
eurcoo,KR,1.0761962493837776,0.9115749999999999,1.9335,nonbreeding,0.2736,0.0048,0.0047,154.0,27.36,0.4488086955223213,common,44.88086955223213,,peak_abundance_with_occupancy_days_modifiers,0.2736
rook1,KR,1.0727815286335882,1.9235,1.9235,nonbreeding,0.2159,0.0028,0.0075,168.0,21.59,0.4473846463618238,common,44.73846463618238,,peak_abundance_with_occupancy_days_modifiers,0.2159
batgod,KR,1.0676031017937648,0.6972666666666667,1.9084,prebreeding_migration,0.0589,0.0135,0.0939,119.0,5.89,0.44522507463299676,common,44.522507463299675,,peak_abundance_with_occupancy_days_modifiers,0.0589
whoswa,KR,0.9873082191094353,0.8483333333333333,1.684,nonbreeding,0.3031,0.0072,0.0247,56.0,30.31,0.4117395076880216,common,41.17395076880216,,peak_abundance_with_occupancy_days_modifiers,0.3031
origre,KR,0.9816664025042876,0.82625,1.6689,nonbreeding,0.9357,0.0233,0.0267,70.0,93.57,0.40938668741719975,common,40.93866874171997,,peak_abundance_with_occupancy_days_modifiers,0.9357
orimag1,KR,0.9749746482099314,1.6511,1.6511,resident,0.7091,0.0285,0.0277,365.0,70.91,0.40659600912100097,common,40.659600912100096,,peak_abundance_with_occupancy_days_modifiers,0.7091
eurwig,KR,0.9056745794109657,0.548025,1.4736,postbreeding_migration,0.1678,0.0055,0.0072,49.0,16.78,0.3776956357039036,common,37.76956357039036,,peak_abundance_with_occupancy_days_modifiers,0.1678
gnwtea,KR,0.8860789164659154,1.2453333333333334,1.4256,nonbreeding,0.3148,0.0044,0.0028,126.0,31.480000000000004,0.36952360952438573,common,36.952360952438575,,peak_abundance_with_occupancy_days_modifiers,0.3148
taibeg1,KR,0.8675625657828026,0.8547,1.3811,prebreeding_migration,0.2177,,,,21.77,0.3618016915185571,common,36.180169151855715,,peak_abundance_with_occupancy_days_modifiers,0.2177
grecor,KR,0.8655446561562067,0.911575,1.3763,postbreeding_migration,0.2487,0.0036,0.0064,98.0,24.87,0.36096015784129987,common,36.09601578412999,,peak_abundance_with_occupancy_days_modifiers,0.2487
rusbun,KR,0.8604396983341396,0.8546333333333335,1.3642,nonbreeding,0.867,,,,86.7,0.3588312250726433,common,35.88312250726433,,peak_abundance_with_occupancy_days_modifiers,0.867
rebmer,KR,0.7690428395632023,0.4482,1.1577,nonbreeding,0.1173,0.0327,0.1047,42.0,11.73,0.3207157744907353,common,32.07157744907353,,peak_abundance_with_occupancy_days_modifiers,0.1173
bkbplo,KR,0.768857439794421,0.5415749999999999,1.1573,prebreeding_migration,0.0494,0.0063,0.0844,140.0,4.9399999999999995,0.3206384567817909,rare,32.06384567817909,rare,peak_abundance_with_occupancy_days_modifiers,0.0494
comshe,KR,0.7626732432085556,0.5986333333333332,1.144,nonbreeding,0.0908,,,,9.08,0.31805944649054974,common,31.80594464905497,,peak_abundance_with_occupancy_days_modifiers,0.0908
labcro1,KR,0.7055203166230866,1.0249,1.0249,resident,0.8545,0.013,0.0175,365.0,85.45,0.2942248248397172,common,29.422482483971717,,peak_abundance_with_occupancy_days_modifiers,0.8545
euroys1,KR,0.6854677692160759,0.3652666666666667,0.9847,postbreeding_migration,0.075,0.027,0.0721,98.0,7.5,0.28586226304042345,fairly_common,28.586226304042345,,peak_abundance_with_occupancy_days_modifiers,0.075
commer,KR,0.6717703148003599,0.6472666666666665,0.9577,nonbreeding,0.4816,0.0194,0.0146,49.0,48.16,0.2801499808690128,fairly_common,28.014998086901283,,peak_abundance_with_occupancy_days_modifiers,0.4816
compoc,KR,0.6682908045610788,0.43893333333333334,0.9509,prebreeding_migration,0.1087,0.0014,0.008,70.0,10.870000000000001,0.2786989123929402,fairly_common,27.86989123929402,,peak_abundance_with_occupancy_days_modifiers,0.1087
azwmag2,KR,0.6600556455597459,0.9349,0.9349,resident,0.6491,0.0944,0.1118,365.0,64.91,0.2752645843408555,common,27.526458434085548,,peak_abundance_with_occupancy_days_modifiers,0.6491
eurcur,KR,0.6138874995743133,0.5866,0.8476,postbreeding_migration,0.077,0.0011,0.0333,133.0,7.7,0.2560109720129268,fairly_common,25.601097201292678,,peak_abundance_with_occupancy_days_modifiers,0.077
greegr,KR,0.6021825451858513,0.5711,0.8261,breeding,0.5361,0.002,0.0068,133.0,53.61,0.25112962689279483,fairly_common,25.112962689279485,,peak_abundance_with_occupancy_days_modifiers,0.5361
eursis,KR,0.5775118369610208,0.5536333333333333,0.7816,nonbreeding,0.7549,0.0103,0.0083,105.0,75.49,0.24084114244366397,fairly_common,24.084114244366397,,peak_abundance_with_occupancy_days_modifiers,0.7549
faecur,KR,0.5772311509626024,0.4895666666666667,0.7811,postbreeding_migration,0.1123,0.0343,0.1759,147.0,11.23,0.2407240872905042,fairly_common,24.07240872905042,,peak_abundance_with_occupancy_days_modifiers,0.1123
daured1,KR,0.5699055237019066,0.628225,0.7681,breeding,0.8026,0.0199,0.0374,119.0,80.25999999999999,0.2376690634352936,fairly_common,23.76690634352936,,peak_abundance_with_occupancy_days_modifiers,0.8026
comgol,KR,0.5680940315563829,0.35156666666666664,0.7649,nonbreeding,0.1281,,,,12.809999999999999,0.23691361253379958,fairly_common,23.69136125337996,,peak_abundance_with_occupancy_days_modifiers,0.1281
martit2,KR,0.5368441861645442,0.7106,0.7106,resident,0.7169,,,,71.69,0.22388141477840315,fairly_common,22.388141477840314,,peak_abundance_with_occupancy_days_modifiers,0.7169
graher1,KR,0.531627751395254,0.62015,0.7017,postbreeding_migration,0.4369,0.0026,0.009,147.0,43.69,0.22170599251185744,fairly_common,22.170599251185745,,peak_abundance_with_occupancy_days_modifiers,0.4369
